output_area,All household spaces,Occupied household spaces,Unoccupied household spaces,Unoccupied household spaces: Second residence/holiday accommodation,Unoccupied household spaces: Vacant
S00089505,54,50,4,0,4
S00089506,54,48,6,6,0
S00089507,59,52,7,5,2
S00089508,54,53,1,1,0
S00089509,31,31,0,0,0
S00089510,55,55,0,0,0
S00089511,51,44,7,6,1
S00089512,47,42,5,5,0
S00089513,63,63,0,0,0
S00089514,40,40,0,0,0
S00089515,62,62,0,0,0
S00089516,64,64,0,0,0
S00089517,54,52,2,0,2
S00089518,103,101,2,0,2
S00089519,54,53,1,0,1
S00089520,42,42,0,0,0
S00089521,72,71,1,1,0
S00089522,53,52,1,1,0
S00089523,47,47,0,0,0
S00089524,57,56,1,0,1
S00089525,39,39,0,0,0
S00089526,77,75,2,0,2
S00089527,76,75,1,0,1
S00089528,67,64,3,3,0
S00089529,60,58,2,0,2
S00089530,36,36,0,0,0
S00089531,44,44,0,0,0
S00089532,60,58,2,0,2
S00089533,44,40,4,2,2
S00089534,64,59,5,3,2
S00089535,44,42,2,0,2
S00089536,68,64,4,2,2
S00089537,40,37,3,3,0
S00089538,40,38,2,2,0
S00089539,52,41,11,8,3
S00089540,48,48,0,0,0
S00089541,44,44,0,0,0
S00089542,85,83,2,2,0
S00089543,59,54,5,5,0
S00089544,53,52,1,1,0
S00089545,56,55,1,1,0
S00089546,48,47,1,0,1
S00089547,75,69,6,4,2
S00089548,106,104,2,1,1
S00089549,66,61,5,3,2
S00089550,52,50,2,1,1
S00089551,62,60,2,0,2
S00089552,36,35,1,0,1
S00089553,41,36,5,0,5
S00089554,47,41,6,3,3
S00089555,73,71,2,0,2
S00089556,55,46,9,5,4
S00089557,111,95,16,14,2
S00089558,58,58,0,0,0
S00089559,71,70,1,0,1
S00089560,55,53,2,0,2
S00089561,42,41,1,0,1
S00089562,62,62,0,0,0
S00089563,43,40,3,0,3
S00089564,47,45,2,0,2
S00089565,73,71,2,0,2
S00089566,72,68,4,0,4
S00089567,72,62,10,8,2
S00089568,68,64,4,4,0
S00089569,80,74,6,0,6
S00089570,58,54,4,2,2
S00089571,62,61,1,1,0
S00089572,43,41,2,0,2
S00089573,49,48,1,0,1
S00089574,49,46,3,1,2
S00089575,37,35,2,0,2
S00089576,55,53,2,0,2
S00089577,54,37,17,14,3
S00089578,48,41,7,7,0
S00089579,42,38,4,4,0
S00089580,48,44,4,4,0
S00089581,44,35,9,4,5
S00089582,70,53,17,17,0
S00089583,83,77,6,6,0
S00089584,45,38,7,6,1
S00089585,59,59,0,0,0
S00089586,50,43,7,6,1
S00089587,52,43,9,7,2
S00089588,45,45,0,0,0
S00089589,42,40,2,0,2
S00089590,53,53,0,0,0
S00089591,48,45,3,3,0
S00089592,48,47,1,0,1
S00089593,54,53,1,0,1
S00089594,32,30,2,2,0
S00089595,49,48,1,0,1
S00089596,48,47,1,0,1
S00089597,46,45,1,0,1
S00089598,41,35,6,5,1
S00089599,72,64,8,8,0
S00089600,30,28,2,1,1
S00089601,42,37,5,4,1
S00089602,86,74,12,11,1
S00089603,58,49,9,9,0
S00089604,47,43,4,4,0
S00089605,76,76,0,0,0
S00089606,75,68,7,5,2
S00089607,57,49,8,8,0
S00089608,39,39,0,0,0
S00089609,52,45,7,6,1
S00089610,77,69,8,6,2
S00089611,61,58,3,0,3
S00089612,52,42,10,9,1
S00089613,30,30,0,0,0
S00089614,80,72,8,8,0
S00089615,61,55,6,4,2
S00089616,71,69,2,1,1
S00089617,72,69,3,3,0
S00089618,72,58,14,14,0
S00089619,72,63,9,8,1
S00089620,72,69,3,3,0
S00089621,54,43,11,0,11
S00089622,46,45,1,0,1
S00089623,55,48,7,6,1
S00089624,37,36,1,0,1
S00089625,44,43,1,1,0
S00089626,67,61,6,4,2
S00089627,47,46,1,0,1
S00089628,74,71,3,0,3
S00089629,66,65,1,0,1
S00089630,32,30,2,1,1
S00089631,54,52,2,2,0
S00089632,54,48,6,4,2
S00089633,80,79,1,0,1
S00089634,48,46,2,0,2
S00089635,34,34,0,0,0
S00089636,52,50,2,0,2
S00089637,40,40,0,0,0
S00089638,47,47,0,0,0
S00089639,62,61,1,0,1
S00089640,73,66,7,3,4
S00089641,39,38,1,0,1
S00089642,39,36,3,1,2
S00089643,78,67,11,9,2
S00089644,77,73,4,4,0
S00089645,78,66,12,11,1
S00089646,82,81,1,0,1
S00089647,67,66,1,0,1
S00089648,31,31,0,0,0
S00089649,51,50,1,0,1
S00089650,61,60,1,1,0
S00089651,65,64,1,1,0
S00089652,56,54,2,0,2
S00089653,59,59,0,0,0
S00089654,41,41,0,0,0
S00089655,30,29,1,0,1
S00089656,54,53,1,1,0
S00089657,33,31,2,0,2
S00089658,76,74,2,0,2
S00089659,49,48,1,0,1
S00089660,66,60,6,6,0
S00089661,93,91,2,1,1
S00089662,53,50,3,0,3
S00089663,74,70,4,0,4
S00089664,43,41,2,0,2
S00089665,71,64,7,6,1
S00089666,56,50,6,2,4
S00089667,49,44,5,1,4
S00089668,66,61,5,5,0
S00089669,69,66,3,0,3
S00089670,39,38,1,1,0
S00089671,50,46,4,0,4
S00089672,92,86,6,4,2
S00089673,78,78,0,0,0
S00089674,80,80,0,0,0
S00089675,80,78,2,1,1
S00089676,50,49,1,0,1
S00089677,73,72,1,0,1
S00089678,36,36,0,0,0
S00089679,89,82,7,6,1
S00089680,86,83,3,1,2
S00089681,59,57,2,2,0
S00089682,33,33,0,0,0
S00089683,47,46,1,0,1
S00089684,51,50,1,1,0
S00089685,70,65,5,4,1
S00089686,25,25,0,0,0
S00089687,47,46,1,1,0
S00089688,56,51,5,3,2
S00089689,46,42,4,0,4
S00089690,71,69,2,0,2
S00089691,68,68,0,0,0
S00089692,26,25,1,0,1
S00089693,28,28,0,0,0
S00089694,81,57,24,11,13
S00089695,67,58,9,7,2
S00089696,77,62,15,10,5
S00089697,45,36,9,4,5
S00089698,47,47,0,0,0
S00089699,33,32,1,0,1
S00089700,55,51,4,3,1
S00089701,45,44,1,1,0
S00089702,30,30,0,0,0
S00089703,58,56,2,0,2
S00089704,51,49,2,1,1
S00089705,43,42,1,1,0
S00089706,56,54,2,0,2
S00089707,48,48,0,0,0
S00089708,42,39,3,2,1
S00089709,41,40,1,0,1
S00089710,74,72,2,0,2
S00089711,73,71,2,1,1
S00089712,50,50,0,0,0
S00089713,48,48,0,0,0
S00089714,60,60,0,0,0
S00089715,44,39,5,3,2
S00089716,60,56,4,2,2
S00089717,66,64,2,0,2
S00089718,64,63,1,1,0
S00089719,77,76,1,1,0
S00089720,65,64,1,0,1
S00089721,71,63,8,0,8
S00089722,60,55,5,4,1
S00089723,25,23,2,1,1
S00089724,43,42,1,0,1
S00089725,44,41,3,1,2
S00089726,54,53,1,0,1
S00089727,53,50,3,1,2
S00089728,48,46,2,0,2
S00089729,79,76,3,1,2
S00089730,60,58,2,1,1
S00089731,49,49,0,0,0
S00089732,85,84,1,0,1
S00089733,56,56,0,0,0
S00089734,56,52,4,0,4
S00089735,43,41,2,0,2
S00089736,54,54,0,0,0
S00089737,52,50,2,0,2
S00089738,41,41,0,0,0
S00089739,40,39,1,0,1
S00089740,80,70,10,3,7
S00089741,48,45,3,0,3
S00089742,56,53,3,0,3
S00089743,57,57,0,0,0
S00089744,44,38,6,5,1
S00089745,55,55,0,0,0
S00089746,57,53,4,2,2
S00089747,49,44,5,5,0
S00089748,49,46,3,2,1
S00089749,26,26,0,0,0
S00089750,73,63,10,9,1
S00089751,44,44,0,0,0
S00089752,43,41,2,2,0
S00089753,54,53,1,0,1
S00089754,50,49,1,1,0
S00089755,29,28,1,0,1
S00089756,38,37,1,0,1
S00089757,64,64,0,0,0
S00089758,58,55,3,1,2
S00089759,72,68,4,2,2
S00089760,57,53,4,1,3
S00089761,24,22,2,2,0
S00089762,74,70,4,3,1
S00089763,62,59,3,1,2
S00089764,60,58,2,1,1
S00089765,56,52,4,4,0
S00089766,66,63,3,0,3
S00089767,41,39,2,0,2
S00089768,39,39,0,0,0
S00089769,36,36,0,0,0
S00089770,55,52,3,0,3
S00089771,68,64,4,1,3
S00089772,63,62,1,0,1
S00089773,72,71,1,0,1
S00089774,53,53,0,0,0
S00089775,58,54,4,0,4
S00089776,70,66,4,1,3
S00089777,60,59,1,0,1
S00089778,75,75,0,0,0
S00089779,72,66,6,1,5
S00089780,57,55,2,0,2
S00089781,70,69,1,0,1
S00089782,57,56,1,0,1
S00089783,63,57,6,0,6
S00089784,40,37,3,0,3
S00089785,64,64,0,0,0
S00089786,40,38,2,1,1
S00089787,55,55,0,0,0
S00089788,39,37,2,0,2
S00089789,77,71,6,1,5
S00089790,97,95,2,0,2
S00089791,47,42,5,0,5
S00089792,47,44,3,0,3
S00089793,43,43,0,0,0
S00089794,37,36,1,1,0
S00089795,73,72,1,1,0
S00089796,75,72,3,2,1
S00089797,67,63,4,1,3
S00089798,64,63,1,0,1
S00089799,72,70,2,0,2
S00089800,65,65,0,0,0
S00089801,63,62,1,0,1
S00089802,73,72,1,1,0
S00089803,40,40,0,0,0
S00089804,60,58,2,0,2
S00089805,40,40,0,0,0
S00089806,50,50,0,0,0
S00089807,48,42,6,6,0
S00089808,39,38,1,0,1
S00089809,62,53,9,8,1
S00089810,30,28,2,1,1
S00089811,48,41,7,6,1
S00089812,44,42,2,0,2
S00089813,59,57,2,0,2
S00089814,48,45,3,0,3
S00089815,40,40,0,0,0
S00089816,52,52,0,0,0
S00089817,62,59,3,1,2
S00089818,38,38,0,0,0
S00089819,76,73,3,1,2
S00089820,57,50,7,5,2
S00089821,51,51,0,0,0
S00089822,44,44,0,0,0
S00089823,44,43,1,0,1
S00089824,72,72,0,0,0
S00089825,70,68,2,1,1
S00089826,52,50,2,0,2
S00089827,46,46,0,0,0
S00089828,57,54,3,1,2
S00089829,42,42,0,0,0
S00089830,52,51,1,0,1
S00089831,48,46,2,0,2
S00089832,41,40,1,0,1
S00089833,65,65,0,0,0
S00089834,40,40,0,0,0
S00089835,43,43,0,0,0
S00089836,73,72,1,0,1
S00089837,69,68,1,0,1
S00089838,72,68,4,3,1
S00089839,35,35,0,0,0
S00089840,37,35,2,2,0
S00089841,48,48,0,0,0
S00089842,42,40,2,2,0
S00089843,51,50,1,1,0
S00089844,54,51,3,3,0
S00089845,55,55,0,0,0
S00089846,37,36,1,0,1
S00089847,34,34,0,0,0
S00089848,46,46,0,0,0
S00089849,60,59,1,0,1
S00089850,68,65,3,1,2
S00089851,40,40,0,0,0
S00089852,72,70,2,0,2
S00089853,72,70,2,0,2
S00089854,72,68,4,0,4
S00089855,72,72,0,0,0
S00089856,75,75,0,0,0
S00089857,57,57,0,0,0
S00089858,38,37,1,0,1
S00089859,48,48,0,0,0
S00089860,48,48,0,0,0
S00089861,52,51,1,1,0
S00089862,69,68,1,0,1
S00089863,64,64,0,0,0
S00089864,76,76,0,0,0
S00089865,65,57,8,6,2
S00089866,52,49,3,2,1
S00089867,52,52,0,0,0
S00089868,48,40,8,6,2
S00089869,73,67,6,6,0
