output_area,All people in households,Up to 0.5 persons per room,Over 0.5 and up to 1.0 persons per room,Over 1.0 and up to 1.5 persons per room,Over 1.5 persons per room
S00089171,74,43,26,5,0
S00089172,64,34,30,0,0
S00089173,139,67,66,6,0
S00089174,161,71,90,0,0
S00089175,124,68,51,5,0
S00089176,102,52,46,4,0
S00089177,129,72,57,0,0
S00089178,149,68,75,6,0
S00089179,172,80,77,15,0
S00089180,132,64,64,0,4
S00089181,101,42,44,11,4
S00089182,114,34,80,0,0
S00089183,98,44,54,0,0
S00089184,137,79,58,0,0
S00089185,136,83,53,0,0
S00089186,114,91,20,3,0
S00089187,67,47,15,5,0
S00089188,146,114,32,0,0
S00089189,152,98,54,0,0
S00089190,113,86,21,6,0
S00089191,137,82,46,9,0
S00089192,111,70,37,4,0
S00089193,132,66,60,6,0
S00089194,129,85,44,0,0
S00089195,135,90,45,0,0
S00089196,119,99,20,0,0
S00089197,116,90,26,0,0
S00089198,83,57,26,0,0
S00089199,76,46,30,0,0
S00089200,69,52,17,0,0
S00089201,98,68,30,0,0
S00089202,152,91,61,0,0
S00089203,196,129,67,0,0
S00089204,149,82,67,0,0
S00089205,115,80,35,0,0
S00089206,122,73,46,3,0
S00089207,100,48,52,0,0
S00089208,76,51,20,5,0
S00089209,73,46,27,0,0
S00089210,76,40,36,0,0
S00089211,71,41,27,3,0
S00089212,106,57,49,0,0
S00089213,68,33,31,4,0
S00089214,61,44,17,0,0
S00089215,67,38,21,8,0
S00089216,97,59,34,0,4
S00089217,79,36,30,13,0
S00089218,126,69,51,3,3
S00089219,84,42,36,0,6
S00089220,60,37,23,0,0
S00089221,138,94,44,0,0
S00089222,89,59,22,8,0
S00089223,70,59,11,0,0
S00089224,135,60,71,4,0
S00089225,58,41,14,3,0
S00089226,57,33,24,0,0
S00089227,128,84,44,0,0
S00089228,95,47,48,0,0
S00089229,97,57,32,8,0
S00089230,95,61,31,0,3
S00089231,87,51,36,0,0
S00089232,93,54,39,0,0
S00089233,80,78,2,0,0
S00089234,97,74,23,0,0
S00089235,104,54,50,0,0
S00089236,81,45,33,3,0
S00089237,117,85,32,0,0
S00089238,135,85,50,0,0
S00089239,98,66,32,0,0
S00089240,179,102,74,0,3
S00089241,65,57,8,0,0
S00089242,123,79,44,0,0
S00089243,115,95,20,0,0
S00089244,117,81,36,0,0
S00089245,84,62,22,0,0
S00089246,95,65,30,0,0
S00089247,166,98,64,0,4
S00089248,196,129,67,0,0
S00089249,105,83,22,0,0
S00089250,80,54,26,0,0
S00089251,96,70,24,0,2
S00089252,118,90,28,0,0
S00089253,129,81,44,0,4
S00089254,137,116,21,0,0
S00089255,119,55,59,5,0
S00089256,109,63,46,0,0
S00089257,97,56,41,0,0
S00089258,100,72,28,0,0
S00089259,84,64,20,0,0
S00089260,136,89,47,0,0
S00089261,158,100,58,0,0
S00089262,108,60,36,6,6
S00089263,92,51,37,4,0
S00089264,137,115,22,0,0
S00089265,84,41,40,0,3
S00089266,100,52,38,10,0
S00089267,79,48,31,0,0
S00089268,113,59,45,4,5
S00089269,101,60,37,0,4
S00089270,120,79,41,0,0
S00089271,90,68,19,3,0
S00089272,69,44,25,0,0
S00089273,101,55,42,4,0
S00089274,129,78,51,0,0
S00089275,64,42,22,0,0
S00089276,59,34,16,4,5
S00089277,177,96,81,0,0
S00089278,66,42,24,0,0
S00089279,67,30,37,0,0
S00089280,59,30,29,0,0
S00089281,75,46,29,0,0
S00089282,69,36,33,0,0
S00089283,54,34,20,0,0
S00089284,105,68,37,0,0
S00089285,128,87,41,0,0
S00089286,106,47,53,6,0
S00089287,87,84,3,0,0
S00089288,98,62,36,0,0
S00089289,120,57,63,0,0
S00089290,64,33,31,0,0
S00089291,99,35,58,6,0
S00089292,90,47,37,6,0
S00089293,153,73,80,0,0
S00089294,148,79,57,0,12
S00089295,190,68,120,0,2
S00089296,161,70,91,0,0
S00089297,93,47,31,5,10
S00089298,98,57,41,0,0
S00089299,64,38,12,14,0
S00089300,99,44,51,0,4
S00089301,116,52,58,6,0
S00089302,104,52,52,0,0
S00089303,167,74,89,4,0
S00089304,159,52,101,6,0
S00089305,64,45,19,0,0
S00089306,141,53,71,17,0
S00089307,88,52,36,0,0
S00089308,77,18,53,6,0
S00089309,148,35,82,31,0
S00089310,171,48,114,9,0
S00089311,101,58,38,5,0
S00089312,164,94,70,0,0
S00089313,150,96,48,0,6
S00089314,125,62,57,3,3
S00089315,108,70,38,0,0
S00089316,106,76,23,3,4
S00089317,94,56,38,0,0
S00089318,107,78,29,0,0
S00089319,134,91,43,0,0
S00089320,125,72,48,5,0
S00089321,85,58,27,0,0
S00089322,124,75,49,0,0
S00089323,83,64,19,0,0
S00089324,94,67,19,0,8
S00089325,102,62,40,0,0
S00089326,130,90,40,0,0
S00089327,108,85,23,0,0
S00089328,111,85,26,0,0
S00089329,95,86,9,0,0
S00089330,151,117,28,0,6
S00089331,168,104,64,0,0
S00089332,172,117,55,0,0
S00089333,176,126,50,0,0
S00089334,150,113,37,0,0
S00089335,144,90,54,0,0
S00089336,93,70,23,0,0
S00089337,57,39,18,0,0
S00089338,156,104,52,0,0
S00089339,150,105,45,0,0
S00089340,125,90,30,0,5
S00089341,77,59,18,0,0
S00089342,75,62,13,0,0
S00089343,71,53,14,0,4
S00089344,70,49,21,0,0
S00089345,98,70,23,5,0
S00089346,145,89,56,0,0
S00089347,108,63,45,0,0
S00089348,92,74,18,0,0
S00089349,97,74,23,0,0
S00089350,123,74,49,0,0
S00089351,175,123,52,0,0
S00089352,154,94,60,0,0
S00089353,111,92,19,0,0
S00089354,89,67,22,0,0
S00089355,165,88,77,0,0
S00089356,61,24,34,3,0
S00089357,118,59,41,18,0
S00089358,85,51,27,7,0
S00089359,129,60,69,0,0
S00089360,113,61,48,4,0
S00089361,151,70,81,0,0
S00089362,102,73,29,0,0
S00089363,60,43,17,0,0
S00089364,96,68,25,3,0
S00089365,132,52,74,0,6
S00089366,105,50,55,0,0
S00089367,102,63,28,6,5
S00089368,58,29,29,0,0
S00089369,120,56,50,14,0
S00089370,107,83,22,0,2
S00089371,121,80,27,4,10
S00089372,63,38,25,0,0
S00089373,97,78,19,0,0
S00089374,55,42,13,0,0
S00089375,137,112,25,0,0
S00089376,135,107,28,0,0
S00089377,82,60,22,0,0
S00089378,103,63,40,0,0
S00089379,169,136,33,0,0
S00089380,156,94,62,0,0
S00089381,108,78,30,0,0
S00089382,126,99,27,0,0
S00089383,108,89,19,0,0
S00089384,106,68,38,0,0
S00089385,138,102,32,4,0
S00089386,170,146,24,0,0
S00089387,158,123,27,8,0
S00089388,159,90,69,0,0
S00089389,98,55,43,0,0
S00089390,93,52,29,5,7
S00089391,101,72,25,4,0
S00089392,85,47,33,5,0
S00089393,86,56,20,10,0
S00089394,68,47,21,0,0
S00089395,111,83,28,0,0
S00089396,72,51,21,0,0
S00089397,101,49,47,5,0
S00089398,96,86,10,0,0
S00089399,51,43,8,0,0
S00089400,98,64,34,0,0
S00089401,73,51,17,5,0
S00089402,84,54,30,0,0
S00089403,98,79,19,0,0
S00089404,95,81,14,0,0
S00089405,112,75,37,0,0
S00089406,145,116,29,0,0
S00089407,128,66,62,0,0
S00089408,104,64,36,4,0
S00089409,117,56,61,0,0
S00089410,121,89,32,0,0
S00089411,98,65,33,0,0
S00089412,190,146,44,0,0
S00089413,188,134,54,0,0
S00089414,63,48,15,0,0
S00089415,97,50,47,0,0
S00089416,151,118,33,0,0
S00089417,133,84,47,0,2
S00089418,149,112,37,0,0
S00089419,118,83,35,0,0
S00089420,142,99,43,0,0
S00089421,171,118,53,0,0
S00089422,88,75,13,0,0
S00089423,163,108,55,0,0
S00089424,144,92,52,0,0
S00089425,182,147,35,0,0
S00089426,189,142,47,0,0
S00089427,79,56,16,7,0
S00089428,83,52,23,6,2
S00089429,135,99,36,0,0
S00089430,126,97,29,0,0
S00089431,78,46,32,0,0
S00089432,61,50,8,3,0
S00089433,74,66,8,0,0
S00089434,80,63,17,0,0
S00089435,120,90,30,0,0
S00089436,117,89,28,0,0
S00089437,142,111,31,0,0
S00089438,154,109,40,0,5
S00089439,112,97,15,0,0
S00089440,59,50,9,0,0
S00089441,83,46,37,0,0
S00089442,106,71,35,0,0
S00089443,63,43,20,0,0
S00089444,132,73,59,0,0
S00089445,145,75,70,0,0
S00089446,109,41,65,3,0
S00089447,92,46,39,3,4
S00089448,104,42,58,4,0
S00089449,141,87,47,5,2
S00089450,94,39,45,0,10
S00089451,91,50,32,9,0
S00089452,99,65,34,0,0
S00089453,110,65,37,3,5
S00089454,76,36,40,0,0
S00089455,93,51,40,0,2
S00089456,128,74,44,6,4
S00089457,85,49,36,0,0
S00089458,79,32,47,0,0
S00089459,61,30,31,0,0
S00089460,84,62,20,0,2
S00089461,104,65,39,0,0
S00089462,87,46,37,0,4
S00089463,132,52,64,12,4
S00089464,133,68,61,0,4
S00089465,84,58,22,0,4
S00089466,56,33,23,0,0
S00089467,82,63,19,0,0
S00089468,68,38,25,0,5
S00089469,114,39,75,0,0
S00089470,72,43,29,0,0
S00089471,73,32,36,0,5
S00089472,83,46,33,0,4
S00089473,94,51,40,3,0
S00089474,129,79,45,5,0
S00089475,70,34,30,0,6
S00089476,59,35,24,0,0
S00089477,104,40,60,4,0
S00089478,100,58,38,0,4
S00089479,71,32,39,0,0
S00089480,68,41,27,0,0
S00089481,123,83,40,0,0
S00089482,72,42,30,0,0
S00089483,87,41,42,4,0
S00089484,109,64,43,0,2
S00089485,65,30,33,0,2
S00089486,101,43,55,3,0
S00089487,80,36,41,0,3
S00089488,88,55,33,0,0
S00089489,131,68,59,0,4
S00089490,135,60,69,6,0
S00089491,78,53,25,0,0
S00089492,71,33,38,0,0
S00089493,72,34,38,0,0
S00089494,74,34,36,0,4
S00089495,69,26,41,0,2
S00089496,68,34,31,3,0
S00089497,155,62,93,0,0
S00089498,124,64,53,7,0
S00089499,71,34,37,0,0
S00089500,91,53,33,5,0
S00089501,146,54,88,0,4
S00089502,135,62,59,14,0
S00089503,62,48,14,0,0
S00089504,59,47,12,0,0
S00089505,64,37,27,0,0
S00089506,88,48,34,6,0
S00089507,93,55,29,5,4
S00089508,107,63,44,0,0
S00089509,51,23,28,0,0
S00089510,128,44,66,18,0
S00089511,88,44,34,6,4
S00089512,58,37,19,0,2
S00089513,126,66,60,0,0
S00089514,103,23,56,17,7
S00089515,125,64,47,14,0
S00089516,107,64,43,0,0
S00089517,73,37,29,3,4
S00089518,171,105,45,21,0
S00089519,116,85,31,0,0
S00089520,91,75,16,0,0
S00089521,131,81,39,11,0
S00089522,116,80,36,0,0
S00089523,101,63,38,0,0
S00089524,99,72,27,0,0
S00089525,78,48,24,6,0
S00089526,109,61,41,5,2
S00089527,107,66,41,0,0
S00089528,91,65,26,0,0
S00089529,118,69,32,7,10
S00089530,67,40,27,0,0
S00089531,82,53,29,0,0
S00089532,110,68,42,0,0
S00089533,79,43,33,3,0
S00089534,120,64,48,8,0
S00089535,86,43,35,8,0
S00089536,114,71,39,0,4
S00089537,76,33,43,0,0
S00089538,88,34,39,15,0
S00089539,79,40,39,0,0
S00089540,97,39,52,6,0
S00089541,96,41,45,10,0
S00089542,124,78,38,8,0
S00089543,80,41,36,3,0
S00089544,102,43,44,10,5
S00089545,62,54,8,0,0
S00089546,107,46,51,10,0
S00089547,143,79,60,0,4
S00089548,161,90,69,0,2
S00089549,98,52,46,0,0
S00089550,101,58,33,5,5
S00089551,76,48,28,0,0
S00089552,77,29,31,10,7
S00089553,54,40,8,6,0
S00089554,69,37,28,4,0
S00089555,141,68,66,0,7
S00089556,80,46,34,0,0
S00089557,138,83,47,8,0
S00089558,125,60,49,6,10
S00089559,154,72,66,12,4
S00089560,78,48,30,0,0
S00089561,89,41,42,6,0
S00089562,111,65,30,11,5
S00089563,76,51,25,0,0
S00089564,98,50,44,4,0
S00089565,147,83,64,0,0
S00089566,140,79,53,8,0
S00089567,174,42,112,20,0
S00089568,177,51,110,14,2
S00089569,111,70,27,6,8
S00089570,137,44,78,9,6
S00089571,150,56,86,3,5
S00089572,76,43,33,0,0
S00089573,103,37,62,0,4
S00089574,80,22,53,3,2
S00089575,72,51,15,6,0
S00089576,126,72,51,3,0
S00089577,89,37,39,3,10
S00089578,109,40,57,12,0
S00089579,88,38,43,7,0
S00089580,109,34,75,0,0
S00089581,89,32,45,12,0
S00089582,120,43,77,0,0
S00089583,134,84,32,18,0
S00089584,66,29,28,9,0
S00089585,131,57,63,11,0
S00089586,108,30,63,15,0
S00089587,69,53,16,0,0
S00089588,88,53,35,0,0
S00089589,87,47,35,5,0
S00089590,107,68,39,0,0
S00089591,120,39,75,6,0
S00089592,95,49,39,0,7
S00089593,120,46,63,11,0
S00089594,82,18,58,6,0
S00089595,143,47,89,7,0
S00089596,100,56,44,0,0
S00089597,128,28,95,0,5
S00089598,58,27,31,0,0
S00089599,130,58,65,7,0
S00089600,53,23,30,0,0
S00089601,71,46,22,3,0
S00089602,123,61,56,3,3
S00089603,91,49,39,3,0
S00089604,75,52,23,0,0
S00089605,139,81,47,11,0
S00089606,125,63,53,0,9
S00089607,148,51,91,0,6
S00089608,61,36,21,4,0
S00089609,105,34,61,10,0
S00089610,134,66,66,0,2
S00089611,85,53,32,0,0
S00089612,93,27,61,5,0
S00089613,62,36,26,0,0
S00089614,175,59,111,5,0
S00089615,122,50,70,0,2
S00089616,125,67,54,0,4
S00089617,156,45,80,31,0
S00089618,118,60,46,12,0
S00089619,132,47,73,12,0
S00089620,153,57,88,4,4
S00089621,51,37,14,0,0
S00089622,84,49,35,0,0
S00089623,104,55,49,0,0
S00089624,75,36,39,0,0
S00089625,112,34,74,0,4
S00089626,157,59,98,0,0
S00089627,70,31,39,0,0
S00089628,112,53,50,4,5
S00089629,169,54,78,30,7
S00089630,107,23,46,33,5
S00089631,115,45,58,12,0
S00089632,111,40,59,12,0
S00089633,174,61,113,0,0
S00089634,105,51,48,6,0
S00089635,60,29,27,4,0
S00089636,124,70,48,6,0
S00089637,60,29,31,0,0
S00089638,101,46,46,9,0
S00089639,94,49,42,3,0
S00089640,122,72,47,3,0
S00089641,61,26,35,0,0
S00089642,68,20,45,0,3
S00089643,132,54,69,9,0
S00089644,181,61,101,10,9
S00089645,160,48,91,16,5
S00089646,131,56,73,0,2
S00089647,148,64,80,0,4
S00089648,66,26,40,0,0
S00089649,103,40,63,0,0
S00089650,134,54,76,4,0
S00089651,135,79,44,12,0
S00089652,145,42,98,0,5
S00089653,114,47,65,0,2
S00089654,103,28,70,5,0
S00089655,84,24,60,0,0
S00089656,85,32,44,4,5
S00089657,73,40,22,6,5
S00089658,121,53,68,0,0
S00089659,90,39,43,4,4
S00089660,117,55,49,0,13
S00089661,126,90,32,0,4
S00089662,95,52,40,0,3
S00089663,117,66,46,5,0
S00089664,68,39,29,0,0
S00089665,102,61,35,6,0
S00089666,90,69,21,0,0
S00089667,60,44,16,0,0
S00089668,89,59,25,3,2
S00089669,134,47,79,0,8
S00089670,74,25,45,4,0
S00089671,83,36,47,0,0
S00089672,116,71,43,0,2
S00089673,100,62,36,0,2
S00089674,138,81,46,11,0
S00089675,136,102,34,0,0
S00089676,70,41,29,0,0
S00089677,120,46,64,3,7
S00089678,69,28,31,8,2
S00089679,138,59,75,4,0
S00089680,118,70,41,3,4
S00089681,145,76,69,0,0
S00089682,64,27,28,9,0
S00089683,78,45,33,0,0
S00089684,77,46,28,3,0
S00089685,120,53,67,0,0
S00089686,63,27,32,4,0
S00089687,80,37,23,0,20
S00089688,99,46,43,10,0
S00089689,58,41,17,0,0
S00089690,151,106,40,5,0
S00089691,130,66,64,0,0
S00089692,59,51,8,0,0
S00089693,65,35,24,6,0
S00089694,116,59,57,0,0
S00089695,118,73,39,6,0
S00089696,138,90,48,0,0
S00089697,86,58,28,0,0
S00089698,103,63,40,0,0
S00089699,74,37,33,0,4
S00089700,120,51,64,5,0
S00089701,85,39,46,0,0
S00089702,73,33,28,12,0
S00089703,145,103,42,0,0
S00089704,115,84,27,4,0
S00089705,112,72,40,0,0
S00089706,136,85,51,0,0
S00089707,82,52,30,0,0
S00089708,57,35,20,0,2
S00089709,93,73,18,0,2
S00089710,132,85,31,5,11
S00089711,139,73,66,0,0
S00089712,113,78,35,0,0
S00089713,105,86,19,0,0
S00089714,154,113,37,4,0
S00089715,103,67,36,0,0
S00089716,80,60,20,0,0
S00089717,128,93,31,0,4
S00089718,168,120,48,0,0
S00089719,189,120,69,0,0
S00089720,167,110,57,0,0
S00089721,179,72,85,22,0
S00089722,95,77,15,3,0
S00089723,58,28,30,0,0
S00089724,86,49,33,0,4
S00089725,96,49,47,0,0
S00089726,121,73,48,0,0
S00089727,100,62,38,0,0
S00089728,92,57,35,0,0
S00089729,148,94,54,0,0
S00089730,78,52,26,0,0
S00089731,113,94,19,0,0
S00089732,158,132,26,0,0
S00089733,100,67,28,3,2
S00089734,94,57,31,6,0
S00089735,75,44,31,0,0
S00089736,84,45,39,0,0
S00089737,86,69,11,6,0
S00089738,71,53,15,3,0
S00089739,91,57,29,0,5
S00089740,124,94,30,0,0
S00089741,109,80,23,6,0
S00089742,172,106,61,0,5
S00089743,164,113,51,0,0
S00089744,81,66,15,0,0
S00089745,130,113,17,0,0
S00089746,121,89,32,0,0
S00089747,100,76,24,0,0
S00089748,115,69,46,0,0
S00089749,62,44,18,0,0
S00089750,103,88,15,0,0
S00089751,110,77,33,0,0
S00089752,108,77,28,0,3
S00089753,136,94,42,0,0
S00089754,124,67,53,0,4
S00089755,65,50,15,0,0
S00089756,77,48,21,8,0
S00089757,122,74,45,3,0
S00089758,112,70,42,0,0
S00089759,164,111,53,0,0
S00089760,80,60,17,3,0
S00089761,59,38,21,0,0
S00089762,119,80,34,5,0
S00089763,108,88,20,0,0
S00089764,131,85,46,0,0
S00089765,141,86,55,0,0
S00089766,104,61,43,0,0
S00089767,64,37,27,0,0
S00089768,62,46,16,0,0
S00089769,57,46,11,0,0
S00089770,102,77,25,0,0
S00089771,94,51,43,0,0
S00089772,93,46,47,0,0
S00089773,108,67,41,0,0
S00089774,82,39,37,3,3
S00089775,73,48,25,0,0
S00089776,94,55,31,3,5
S00089777,91,47,41,3,0
S00089778,139,76,51,8,4
S00089779,92,63,29,0,0
S00089780,70,45,23,0,2
S00089781,89,60,29,0,0
S00089782,71,46,25,0,0
S00089783,79,62,17,0,0
S00089784,59,29,30,0,0
S00089785,153,56,81,11,5
S00089786,102,39,43,5,15
S00089787,81,64,17,0,0
S00089788,68,29,39,0,0
S00089789,115,54,57,0,4
S00089790,144,100,44,0,0
S00089791,66,44,18,0,4
S00089792,73,55,18,0,0
S00089793,72,51,21,0,0
S00089794,71,45,23,3,0
S00089795,143,81,53,3,6
S00089796,121,82,34,0,5
S00089797,90,77,13,0,0
S00089798,97,59,33,0,5
S00089799,141,98,43,0,0
S00089800,107,62,35,4,6
S00089801,83,71,8,4,0
S00089802,182,64,114,0,4
S00089803,83,40,43,0,0
S00089804,124,64,60,0,0
S00089805,73,48,17,8,0
S00089806,113,52,53,8,0
S00089807,81,48,33,0,0
S00089808,82,39,43,0,0
S00089809,92,46,34,8,4
S00089810,66,27,39,0,0
S00089811,77,49,28,0,0
S00089812,98,45,53,0,0
S00089813,149,60,74,15,0
S00089814,69,45,24,0,0
S00089815,94,37,57,0,0
S00089816,124,43,75,6,0
S00089817,124,57,64,3,0
S00089818,93,38,38,17,0
S00089819,174,77,86,6,5
S00089820,124,40,76,4,4
S00089821,114,58,49,5,2
S00089822,105,33,72,0,0
S00089823,104,35,63,6,0
S00089824,166,73,83,10,0
S00089825,147,82,65,0,0
S00089826,114,46,64,4,0
S00089827,125,41,74,10,0
S00089828,73,44,20,0,9
S00089829,93,41,47,5,0
S00089830,124,50,65,5,4
S00089831,114,51,52,11,0
S00089832,87,40,47,0,0
S00089833,145,64,70,11,0
S00089834,92,45,41,6,0
S00089835,90,39,51,0,0
S00089836,166,71,79,16,0
S00089837,154,67,66,21,0
S00089838,142,55,66,11,10
S00089839,87,23,55,9,0
S00089840,85,31,54,0,0
S00089841,131,46,68,12,5
S00089842,82,48,34,0,0
S00089843,141,52,75,14,0
S00089844,113,37,76,0,0
S00089845,137,58,67,12,0
S00089846,86,35,40,11,0
S00089847,82,31,46,0,5
S00089848,123,40,83,0,0
S00089849,134,65,63,6,0
S00089850,149,59,75,15,0
S00089851,82,45,32,5,0
S00089852,97,80,12,5,0
S00089853,130,72,52,6,0
S00089854,95,79,16,0,0
S00089855,132,76,56,0,0
S00089856,152,66,86,0,0
S00089857,116,65,51,0,0
S00089858,87,45,42,0,0
S00089859,116,48,46,18,4
S00089860,102,62,32,0,8
S00089861,85,37,48,0,0
S00089862,121,58,58,0,5
S00089863,158,88,70,0,0
S00089864,170,74,92,4,0
S00089865,137,52,76,9,0
S00089866,81,44,32,5,0
S00089867,116,50,56,10,0
S00089868,60,47,11,0,2
S00089869,159,50,84,20,5
S00089870,127,41,86,0,0
S00089871,126,54,51,21,0
S00089872,147,60,71,16,0
S00089873,180,70,91,19,0
