output_area,All occupied household spaces,One room,Two rooms,Three rooms,Four rooms,Five rooms,Six rooms,Seven rooms,Eight rooms,Nine or more rooms
S00089157,48,1,0,6,13,20,6,0,0,2
S00089158,55,1,0,2,19,23,7,1,1,1
S00089159,43,0,0,1,30,8,3,0,1,0
S00089160,50,0,2,2,26,15,5,0,0,0
S00089161,43,0,2,0,17,20,4,0,0,0
S00089162,34,0,0,5,19,8,2,0,0,0
S00089163,51,0,1,2,21,15,11,1,0,0
S00089164,39,0,0,4,20,13,2,0,0,0
S00089165,49,0,0,4,22,17,4,1,1,0
S00089166,71,2,2,4,41,15,4,1,1,1
S00089167,52,0,2,4,32,11,2,0,0,1
S00089168,53,1,3,45,4,0,0,0,0,0
S00089169,46,0,0,2,6,30,7,1,0,0
S00089170,46,0,2,7,24,7,5,1,0,0
S00089171,41,0,1,6,32,2,0,0,0,0
S00089172,31,0,0,2,23,5,1,0,0,0
S00089173,62,0,3,3,33,19,2,1,0,1
S00089174,71,0,1,7,24,31,6,1,0,1
S00089175,64,2,1,13,43,4,0,0,0,1
S00089176,42,0,0,2,2,29,6,1,1,1
S00089177,67,0,2,5,48,9,2,1,0,0
S00089178,66,0,0,4,31,18,10,1,1,1
S00089179,77,0,2,3,39,23,4,2,4,0
S00089180,60,0,1,4,13,35,4,1,2,0
S00089181,45,1,0,1,3,36,4,0,0,0
S00089182,43,0,0,0,3,30,7,1,0,2
S00089183,41,0,0,3,6,29,2,0,0,1
S00089184,46,0,0,1,2,1,13,9,8,12
S00089185,55,0,0,1,4,2,11,11,12,14
S00089186,51,0,1,0,21,4,3,6,6,10
S00089187,38,0,0,2,25,9,1,0,0,1
S00089188,70,0,0,0,7,22,11,11,10,9
S00089189,72,0,2,7,11,18,17,9,5,3
S00089190,59,0,1,12,18,9,2,0,6,11
S00089191,72,0,2,29,16,11,2,5,2,5
S00089192,65,0,4,27,15,2,4,12,0,1
S00089193,76,0,4,39,15,2,4,11,0,1
S00089194,65,0,1,3,23,8,7,8,7,8
S00089195,51,0,0,3,4,7,1,7,8,21
S00089196,53,0,0,0,3,8,5,10,12,15
S00089197,52,0,1,2,10,11,9,8,8,3
S00089198,54,0,2,16,23,3,3,4,2,1
S00089199,26,0,1,2,2,3,2,1,3,12
S00089200,34,0,0,1,2,7,8,11,3,2
S00089201,43,0,1,0,4,7,17,6,4,4
S00089202,72,0,3,20,11,9,17,6,4,2
S00089203,75,0,1,1,23,8,11,9,6,16
S00089204,52,0,0,1,1,9,7,9,17,8
S00089205,52,0,1,6,11,5,10,7,9,3
S00089206,51,0,1,1,5,9,12,8,4,11
S00089207,40,0,0,2,5,16,8,5,3,1
S00089208,51,2,9,21,16,3,0,0,0,0
S00089209,41,0,2,19,12,5,1,0,1,1
S00089210,52,2,9,32,8,1,0,0,0,0
S00089211,49,0,9,23,15,1,0,1,0,0
S00089212,62,0,4,26,19,10,3,0,0,0
S00089213,43,1,0,31,4,7,0,0,0,0
S00089214,41,0,4,11,17,6,3,0,0,0
S00089215,39,0,1,14,12,6,5,1,0,0
S00089216,68,2,9,40,12,4,0,0,1,0
S00089217,52,0,7,37,4,3,0,1,0,0
S00089218,84,2,23,45,7,1,2,2,2,0
S00089219,55,0,11,33,8,2,1,0,0,0
S00089220,39,0,1,21,11,5,0,1,0,0
S00089221,81,0,12,24,32,4,2,2,3,2
S00089222,50,0,1,12,29,6,1,1,0,0
S00089223,48,1,9,4,20,12,2,0,0,0
S00089224,67,0,2,14,19,23,8,0,0,1
S00089225,41,0,8,12,16,4,0,1,0,0
S00089226,38,0,2,23,6,6,0,0,1,0
S00089227,84,0,20,34,23,5,0,1,0,1
S00089228,41,0,2,9,8,2,7,6,4,3
S00089229,51,0,6,14,9,8,5,3,6,0
S00089230,52,1,4,12,10,12,5,4,0,4
S00089231,59,1,9,33,11,3,0,1,1,0
S00089232,47,1,3,10,12,7,2,2,3,7
S00089233,31,0,1,0,2,1,1,5,2,19
S00089234,44,0,1,1,4,16,3,4,8,7
S00089235,69,0,6,49,11,0,1,1,0,1
S00089236,58,0,8,41,6,2,0,1,0,0
S00089237,53,0,0,0,5,4,16,20,5,3
S00089238,59,0,0,1,14,12,10,17,4,1
S00089239,42,0,0,1,3,8,18,9,3,0
S00089240,73,2,0,2,7,9,22,20,9,2
S00089241,30,0,0,0,1,0,9,13,3,4
S00089242,51,0,0,0,1,9,20,11,4,6
S00089243,51,0,1,1,0,8,13,10,14,4
S00089244,56,0,0,0,2,20,16,12,5,1
S00089245,45,0,0,7,5,13,10,6,2,2
S00089246,37,0,0,1,0,7,9,10,6,4
S00089247,76,0,1,7,26,21,13,4,3,1
S00089248,91,0,0,2,35,15,28,5,3,3
S00089249,43,0,0,0,6,9,4,4,5,15
S00089250,36,0,0,2,18,3,2,1,2,8
S00089251,42,1,0,1,6,7,3,10,5,9
S00089252,44,0,0,2,1,2,5,11,8,15
S00089253,60,0,1,3,14,16,15,9,2,0
S00089254,56,0,0,1,12,9,8,6,10,10
S00089255,53,0,2,9,18,6,12,4,2,0
S00089256,46,0,0,0,8,11,13,9,3,2
S00089257,43,0,0,1,5,9,5,10,8,5
S00089258,50,0,9,7,18,2,2,0,1,11
S00089259,42,0,0,6,27,2,0,2,0,5
S00089260,55,0,1,1,7,13,7,10,9,7
S00089261,75,0,2,2,10,16,29,10,4,2
S00089262,69,0,11,28,21,6,2,0,0,1
S00089263,66,2,10,43,10,0,1,0,0,0
S00089264,77,0,2,25,14,12,5,5,9,5
S00089265,56,4,11,24,15,1,0,1,0,0
S00089266,59,0,7,29,9,6,1,4,2,1
S00089267,53,0,5,34,13,1,0,0,0,0
S00089268,71,3,4,44,16,0,1,2,1,0
S00089269,62,0,8,34,13,2,1,2,0,2
S00089270,80,0,4,39,17,4,6,7,2,1
S00089271,38,0,1,2,4,9,3,2,7,10
S00089272,26,0,0,0,4,6,4,6,4,2
S00089273,62,0,6,37,12,2,3,1,0,1
S00089274,64,0,1,24,11,6,5,5,7,5
S00089275,53,0,4,47,2,0,0,0,0,0
S00089276,41,1,11,22,3,3,1,0,0,0
S00089277,72,0,1,0,14,28,20,2,4,3
S00089278,53,0,3,45,5,0,0,0,0,0
S00089279,30,1,1,3,9,5,7,1,2,1
S00089280,27,0,0,0,8,18,1,0,0,0
S00089281,41,0,3,7,16,6,6,2,1,0
S00089282,27,0,1,4,1,3,11,2,2,3
S00089283,31,1,1,6,10,9,3,1,0,0
S00089284,51,0,0,1,9,29,7,5,0,0
S00089285,79,0,4,15,47,5,6,2,0,0
S00089286,68,2,17,33,12,4,0,0,0,0
S00089287,71,1,2,19,48,0,0,1,0,0
S00089288,48,0,0,9,16,9,6,4,2,2
S00089289,47,0,1,2,12,10,14,7,1,0
S00089290,31,1,0,7,12,1,7,0,1,2
S00089291,41,0,0,3,19,17,1,0,0,1
S00089292,42,0,0,8,5,20,7,2,0,0
S00089293,77,0,3,8,44,16,4,1,0,1
S00089294,67,0,3,4,34,20,5,0,0,1
S00089295,72,1,0,3,13,33,18,3,1,0
S00089296,66,0,0,4,25,25,7,0,1,4
S00089297,50,0,3,19,18,5,2,2,1,0
S00089298,48,0,2,10,10,6,13,4,2,1
S00089299,39,1,4,13,14,6,1,0,0,0
S00089300,41,0,1,2,1,26,8,2,0,1
S00089301,47,1,0,1,2,36,5,1,0,1
S00089302,41,0,0,0,9,22,9,1,0,0
S00089303,72,0,0,2,4,63,0,2,1,0
S00089304,62,0,0,6,8,42,4,1,1,0
S00089305,42,1,0,23,2,12,1,2,1,0
S00089306,68,0,2,26,15,20,2,2,1,0
S00089307,55,1,1,30,9,10,2,1,0,1
S00089308,27,0,0,2,0,19,3,3,0,0
S00089309,51,0,0,6,1,40,2,2,0,0
S00089310,72,0,4,16,7,39,5,0,1,0
S00089311,49,0,0,5,24,15,3,1,0,1
S00089312,69,0,1,2,18,12,18,14,1,3
S00089313,75,0,2,6,16,30,10,9,2,0
S00089314,73,1,7,36,12,6,4,2,1,4
S00089315,50,0,0,1,5,11,24,6,0,3
S00089316,49,0,2,1,4,19,12,5,3,3
S00089317,40,0,0,1,2,12,13,9,2,1
S00089318,45,0,0,1,3,7,22,6,3,3
S00089319,60,1,0,2,10,15,17,9,6,0
S00089320,47,0,0,0,2,9,19,7,7,3
S00089321,37,0,1,2,4,3,12,10,4,1
S00089322,55,0,1,4,16,9,15,5,2,3
S00089323,40,0,0,2,9,10,8,6,3,2
S00089324,46,0,0,2,11,11,14,6,1,1
S00089325,43,0,0,1,8,8,13,11,1,1
S00089326,56,0,0,0,11,7,19,13,5,1
S00089327,50,0,0,0,10,9,19,7,2,3
S00089328,59,0,0,8,15,7,19,9,1,0
S00089329,48,0,0,1,3,10,13,13,3,5
S00089330,69,0,0,2,10,11,16,11,10,9
S00089331,69,0,0,0,6,6,29,13,9,6
S00089332,67,0,0,0,5,12,24,8,14,4
S00089333,73,0,0,0,2,15,21,22,12,1
S00089334,67,0,0,1,1,13,21,14,11,6
S00089335,62,0,0,0,12,14,18,9,4,5
S00089336,44,0,0,1,12,7,13,6,3,2
S00089337,29,0,0,2,6,9,8,4,0,0
S00089338,73,0,0,1,13,13,26,15,4,1
S00089339,69,1,0,0,7,15,28,10,6,2
S00089340,68,0,0,24,4,5,13,11,7,4
S00089341,44,0,0,5,12,1,18,5,1,2
S00089342,62,0,3,37,19,1,1,0,1,0
S00089343,49,0,6,22,15,3,0,1,0,2
S00089344,42,0,6,19,4,4,2,1,3,3
S00089345,52,0,1,1,26,8,7,4,3,2
S00089346,64,0,0,0,7,20,9,13,4,11
S00089347,48,0,0,0,1,4,19,20,3,1
S00089348,39,0,0,1,1,1,19,8,7,2
S00089349,45,0,0,0,5,10,23,4,3,0
S00089350,52,0,0,0,14,1,12,17,4,4
S00089351,68,0,0,2,7,3,20,11,9,16
S00089352,60,0,0,0,1,4,25,16,9,5
S00089353,52,0,0,0,4,12,17,11,3,5
S00089354,41,0,0,0,5,10,15,4,6,1
S00089355,58,0,0,0,0,6,21,16,7,8
S00089356,22,0,1,1,4,10,5,1,0,0
S00089357,53,0,2,3,19,22,6,0,0,1
S00089358,42,0,0,1,7,27,6,0,1,0
S00089359,56,0,0,2,7,30,14,2,1,0
S00089360,68,0,0,33,26,6,2,1,0,0
S00089361,72,2,1,14,9,31,9,2,4,0
S00089362,61,1,2,31,4,4,2,4,4,9
S00089363,27,0,0,0,6,10,5,3,0,3
S00089364,67,0,20,22,23,1,1,0,0,0
S00089365,66,11,5,15,20,12,1,2,0,0
S00089366,54,0,5,15,19,13,0,2,0,0
S00089367,54,0,1,8,26,18,0,1,0,0
S00089368,37,4,3,16,13,1,0,0,0,0
S00089369,68,1,6,19,36,5,1,0,0,0
S00089370,74,1,6,30,33,4,0,0,0,0
S00089371,75,2,7,33,16,4,5,6,1,1
S00089372,40,0,2,22,12,1,3,0,0,0
S00089373,56,0,3,6,28,8,4,5,1,1
S00089374,32,0,0,1,8,15,1,5,0,2
S00089375,74,0,0,3,21,9,23,9,6,3
S00089376,71,0,1,1,17,18,18,10,4,2
S00089377,40,0,0,4,12,8,7,4,3,2
S00089378,41,0,0,1,0,7,15,12,5,1
S00089379,75,0,0,1,9,10,31,13,8,3
S00089380,64,0,0,1,0,14,30,11,3,5
S00089381,46,0,0,0,1,4,6,15,12,8
S00089382,59,0,0,1,5,9,29,7,6,2
S00089383,48,0,0,1,0,5,15,15,8,4
S00089384,47,0,0,0,2,5,19,13,5,3
S00089385,72,0,1,10,17,9,12,7,8,8
S00089386,76,0,0,1,3,4,11,13,20,24
S00089387,66,0,0,1,2,4,22,17,13,7
S00089388,56,0,0,1,2,5,10,18,10,10
S00089389,44,0,1,0,5,9,14,10,2,3
S00089390,42,0,1,1,32,4,1,1,0,2
S00089391,72,4,14,25,25,3,0,1,0,0
S00089392,46,0,3,2,38,2,1,0,0,0
S00089393,46,0,1,3,38,2,1,0,0,1
S00089394,44,0,0,4,36,2,1,0,0,1
S00089395,71,0,3,8,53,5,0,1,1,0
S00089396,61,6,19,30,2,1,1,2,0,0
S00089397,44,1,1,3,18,7,5,5,3,1
S00089398,46,0,1,0,7,7,5,6,10,10
S00089399,43,0,6,30,3,0,1,3,0,0
S00089400,47,0,0,5,10,9,10,8,4,1
S00089401,42,0,2,6,25,7,1,1,0,0
S00089402,53,0,1,17,28,3,3,1,0,0
S00089403,41,0,0,1,2,2,12,6,9,9
S00089404,42,0,0,0,1,5,4,12,10,10
S00089405,44,0,0,1,3,4,6,4,9,17
S00089406,51,0,1,0,2,0,3,8,19,18
S00089407,62,0,0,13,30,7,3,4,5,0
S00089408,49,0,0,1,16,15,7,3,4,3
S00089409,49,0,3,5,12,5,16,5,3,0
S00089410,41,0,0,0,0,0,7,10,15,9
S00089411,34,0,0,0,1,8,5,4,7,9
S00089412,76,0,0,0,1,11,13,9,24,18
S00089413,66,0,1,0,2,7,8,17,12,19
S00089414,41,0,5,4,22,3,3,3,0,1
S00089415,44,0,2,4,14,15,3,3,2,1
S00089416,54,0,0,1,3,11,5,7,14,13
S00089417,53,1,1,1,4,5,8,11,14,8
S00089418,55,0,0,0,3,3,16,6,11,16
S00089419,56,0,0,6,22,16,3,0,4,5
S00089420,59,0,0,1,2,14,7,17,10,8
S00089421,63,0,1,0,3,2,18,15,13,11
S00089422,54,0,1,1,28,10,6,4,2,2
S00089423,59,0,0,0,5,3,12,15,7,17
S00089424,52,0,0,1,1,1,12,8,16,13
S00089425,65,0,0,0,3,4,5,19,12,22
S00089426,66,0,0,3,9,1,2,14,15,22
S00089427,30,0,0,1,2,4,6,4,5,8
S00089428,43,1,0,10,16,5,5,2,0,4
S00089429,53,0,0,2,15,4,4,4,6,18
S00089430,66,0,0,11,21,3,13,10,5,3
S00089431,33,0,1,3,7,5,6,2,5,4
S00089432,26,0,2,1,3,3,9,1,3,4
S00089433,48,0,1,2,36,5,2,0,0,2
S00089434,27,0,0,0,1,3,2,6,6,9
S00089435,48,0,0,0,3,3,5,4,3,30
S00089436,48,0,0,0,1,7,17,5,6,12
S00089437,55,0,0,1,3,6,4,6,12,23
S00089438,54,0,0,1,0,5,5,5,6,32
S00089439,44,0,0,1,1,4,6,5,14,13
S00089440,22,0,0,1,1,1,2,3,3,11
S00089441,44,1,1,2,34,2,1,0,1,2
S00089442,61,0,6,12,11,7,17,6,1,1
S00089443,36,0,3,10,10,7,2,3,1,0
S00089444,75,0,5,27,39,2,2,0,0,0
S00089445,72,0,5,16,30,9,6,5,1,0
S00089446,50,0,2,10,22,8,6,0,2,0
S00089447,47,0,5,10,22,4,4,0,2,0
S00089448,52,0,8,11,17,9,2,4,1,0
S00089449,80,2,0,19,44,10,4,1,0,0
S00089450,43,0,2,5,23,12,1,0,0,0
S00089451,61,1,7,34,13,4,0,2,0,0
S00089452,76,1,4,54,11,4,0,0,0,2
S00089453,78,1,17,45,11,3,0,1,0,0
S00089454,47,0,3,29,7,6,1,0,1,0
S00089455,66,1,8,42,12,1,1,1,0,0
S00089456,77,2,8,34,29,4,0,0,0,0
S00089457,54,1,7,27,16,1,1,1,0,0
S00089458,46,0,5,25,11,3,1,0,0,1
S00089459,39,1,6,21,8,2,0,1,0,0
S00089460,75,7,4,58,4,0,0,0,1,1
S00089461,76,2,12,43,15,3,1,0,0,0
S00089462,57,2,22,17,9,5,2,0,0,0
S00089463,70,0,5,39,12,9,2,3,0,0
S00089464,67,2,6,21,16,8,6,4,2,2
S00089465,57,0,16,19,19,2,0,0,0,1
S00089466,33,0,0,14,14,4,1,0,0,0
S00089467,49,0,2,8,31,0,3,4,1,0
S00089468,41,0,17,7,12,2,1,1,1,0
S00089469,50,0,1,12,21,4,0,11,1,0
S00089470,41,0,2,10,24,0,4,1,0,0
S00089471,42,0,11,14,15,1,0,1,0,0
S00089472,46,0,9,6,27,2,0,1,1,0
S00089473,59,0,7,32,18,1,0,0,1,0
S00089474,94,3,29,49,12,0,1,0,0,0
S00089475,43,1,8,24,8,1,0,1,0,0
S00089476,37,0,7,12,16,2,0,0,0,0
S00089477,58,1,7,28,19,2,0,1,0,0
S00089478,54,0,4,18,29,2,1,0,0,0
S00089479,42,0,4,21,12,5,0,0,0,0
S00089480,40,0,1,18,18,2,1,0,0,0
S00089481,61,0,1,2,46,11,0,0,1,0
S00089482,48,0,5,27,16,0,0,0,0,0
S00089483,46,1,6,19,15,2,0,3,0,0
S00089484,63,3,2,23,18,11,5,0,0,1
S00089485,42,3,6,25,8,0,0,0,0,0
S00089486,72,4,10,55,2,0,0,1,0,0
S00089487,55,2,6,43,2,1,0,1,0,0
S00089488,63,2,4,38,18,1,0,0,0,0
S00089489,79,3,16,31,23,4,2,0,0,0
S00089490,79,0,12,40,21,6,0,0,0,0
S00089491,46,0,1,11,32,1,1,0,0,0
S00089492,51,1,4,42,3,0,0,1,0,0
S00089493,40,0,6,21,8,2,1,1,0,1
S00089494,51,2,5,39,4,1,0,0,0,0
S00089495,43,2,1,34,4,2,0,0,0,0
S00089496,48,0,3,37,7,1,0,0,0,0
S00089497,70,0,4,16,18,9,8,8,5,2
S00089498,57,0,4,6,43,3,1,0,0,0
S00089499,36,0,3,2,28,2,1,0,0,0
S00089500,46,2,3,3,26,5,1,3,0,3
S00089501,68,0,3,12,49,1,1,1,0,1
S00089502,65,0,1,6,54,3,1,0,0,0
S00089503,56,2,4,46,3,0,0,1,0,0
