output_area,All households,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Rented: Council (Local authority),Rented: Other social rented,Rented: Private landlord or letting agency,Rented: Other,Living rent free
S00089151,37,7,7,0,20,0,2,1,0
S00089152,42,1,5,1,33,0,1,0,1
S00089153,40,14,12,1,10,0,1,0,2
S00089154,37,6,8,0,21,0,2,0,0
S00089155,39,17,10,0,10,0,0,2,0
S00089156,49,15,16,0,15,0,3,0,0
S00089157,48,23,15,0,8,1,1,0,0
S00089158,55,20,23,0,9,0,2,0,1
S00089159,43,12,13,0,14,0,2,0,2
S00089160,50,17,16,0,15,0,2,0,0
S00089161,43,13,18,0,11,0,1,0,0
S00089162,34,6,11,0,16,0,1,0,0
S00089163,51,13,21,0,14,0,2,1,0
S00089164,39,18,10,0,11,0,0,0,0
S00089165,49,13,22,0,11,0,1,1,1
S00089166,71,29,13,0,26,1,2,0,0
S00089167,52,15,16,0,17,0,2,2,0
S00089168,53,1,0,3,48,0,1,0,0
S00089169,46,11,15,0,18,1,1,0,0
S00089170,46,6,14,0,24,0,1,0,1
S00089171,41,9,6,0,23,0,1,0,2
S00089172,31,6,10,0,12,0,2,1,0
S00089173,62,18,31,0,12,0,1,0,0
S00089174,71,17,18,0,32,0,2,1,1
S00089175,64,5,23,0,33,0,1,1,1
S00089176,42,14,24,0,2,0,2,0,0
S00089177,67,16,17,0,29,2,1,2,0
S00089178,66,20,29,0,11,0,3,2,1
S00089179,77,28,27,0,15,1,3,1,2
S00089180,60,14,27,0,13,1,1,1,3
S00089181,45,18,17,1,8,0,1,0,0
S00089182,43,12,22,0,5,0,3,1,0
S00089183,41,15,18,1,7,0,0,0,0
S00089184,46,21,20,0,0,0,5,0,0
S00089185,55,34,16,0,1,0,3,0,1
S00089186,51,11,20,0,1,0,17,2,0
S00089187,38,12,11,0,0,0,11,1,3
S00089188,70,31,28,0,1,0,5,3,2
S00089189,72,33,25,0,0,0,11,0,3
S00089190,59,16,16,0,0,0,18,4,5
S00089191,72,15,32,0,0,1,22,1,1
S00089192,65,8,26,1,0,1,28,0,1
S00089193,76,13,26,0,1,4,27,4,1
S00089194,65,27,21,0,1,1,12,0,3
S00089195,51,23,21,0,0,0,4,0,3
S00089196,53,28,19,0,1,0,5,0,0
S00089197,52,22,23,0,1,0,5,0,1
S00089198,54,25,21,0,0,0,6,2,0
S00089199,26,4,18,1,0,1,1,0,1
S00089200,34,17,10,0,0,0,4,2,1
S00089201,43,24,15,0,1,0,3,0,0
S00089202,72,24,31,0,0,0,16,1,0
S00089203,75,25,30,0,0,1,17,0,2
S00089204,52,21,29,0,0,0,2,0,0
S00089205,52,19,20,0,0,0,12,0,1
S00089206,51,22,16,0,1,0,7,0,5
S00089207,40,13,19,0,1,0,5,2,0
S00089208,51,6,13,1,0,1,22,5,3
S00089209,41,5,20,0,0,0,15,1,0
S00089210,52,6,11,0,3,0,26,4,2
S00089211,49,8,14,2,1,0,20,3,1
S00089212,62,8,20,0,0,0,29,3,2
S00089213,43,1,17,0,0,0,20,2,3
S00089214,41,7,15,0,0,0,13,2,4
S00089215,39,6,17,0,1,0,11,2,2
S00089216,68,11,27,1,2,0,26,1,0
S00089217,52,4,11,0,3,0,33,1,0
S00089218,84,8,22,0,11,6,33,4,0
S00089219,55,4,15,0,5,0,29,1,1
S00089220,39,7,14,1,0,0,16,0,1
S00089221,81,16,28,1,3,0,29,3,1
S00089222,50,7,17,0,2,0,22,0,2
S00089223,48,7,14,1,14,1,11,0,0
S00089224,67,20,30,2,1,0,14,0,0
S00089225,41,3,16,1,2,0,17,2,0
S00089226,38,4,17,0,0,0,15,1,1
S00089227,84,20,21,1,5,1,25,4,7
S00089228,41,5,21,0,0,1,10,3,1
S00089229,51,13,20,0,0,0,15,2,1
S00089230,52,19,13,0,4,0,14,2,0
S00089231,59,8,15,0,1,0,33,2,0
S00089232,47,11,19,0,0,0,12,1,4
S00089233,31,15,9,0,0,0,3,0,4
S00089234,44,19,11,0,1,0,13,0,0
S00089235,69,4,26,0,3,0,33,1,2
S00089236,58,9,21,0,4,2,20,1,1
S00089237,53,21,28,0,0,1,3,0,0
S00089238,59,29,20,0,1,1,6,2,0
S00089239,42,18,21,0,0,0,1,1,1
S00089240,73,36,31,0,1,0,4,0,1
S00089241,30,19,9,0,0,0,1,1,0
S00089242,51,29,19,0,0,0,3,0,0
S00089243,51,27,19,0,1,0,3,0,1
S00089244,56,30,22,0,1,0,2,0,1
S00089245,45,30,14,0,1,0,0,0,0
S00089246,37,21,12,0,0,0,3,0,1
S00089247,76,35,28,0,1,0,10,1,1
S00089248,91,32,36,1,1,1,14,6,0
S00089249,43,20,18,0,1,0,2,1,1
S00089250,36,8,22,0,0,0,5,0,1
S00089251,42,16,20,1,0,0,4,1,0
S00089252,44,18,21,0,0,0,5,0,0
S00089253,60,24,27,0,1,0,7,0,1
S00089254,56,28,21,0,0,1,5,0,1
S00089255,53,12,26,0,1,1,13,0,0
S00089256,46,16,25,0,0,0,4,1,0
S00089257,43,18,22,0,0,0,1,2,0
S00089258,50,11,16,0,2,0,20,1,0
S00089259,42,9,21,0,0,0,9,3,0
S00089260,55,17,29,0,1,0,7,0,1
S00089261,75,21,37,0,1,0,11,4,1
S00089262,69,20,18,0,0,0,26,1,4
S00089263,66,5,20,0,18,1,21,1,0
S00089264,77,21,30,0,0,0,20,2,4
S00089265,56,5,18,0,2,1,26,4,0
S00089266,59,10,25,0,0,0,21,3,0
S00089267,53,4,19,0,2,1,24,3,0
S00089268,71,4,31,0,2,0,32,2,0
S00089269,62,13,25,0,0,0,23,1,0
S00089270,80,18,37,0,0,2,19,3,1
S00089271,38,16,16,0,0,0,5,1,0
S00089272,26,12,13,0,0,0,1,0,0
S00089273,62,11,27,0,0,0,18,3,3
S00089274,64,17,29,0,1,2,14,0,1
S00089275,53,0,0,0,52,1,0,0,0
S00089276,41,5,12,0,1,6,17,0,0
S00089277,72,30,36,0,1,0,3,1,1
S00089278,53,2,0,0,51,0,0,0,0
S00089279,30,11,11,0,0,0,6,2,0
S00089280,27,12,8,0,1,0,5,0,1
S00089281,41,5,24,0,2,1,9,0,0
S00089282,27,9,13,0,2,1,2,0,0
S00089283,31,12,9,0,0,1,8,1,0
S00089284,51,31,19,0,0,1,0,0,0
S00089285,79,20,34,0,1,0,21,2,1
S00089286,68,5,21,0,3,3,33,2,1
S00089287,71,3,1,14,0,50,2,0,1
S00089288,48,12,10,0,4,18,3,0,1
S00089289,47,9,15,0,0,19,1,2,1
S00089290,31,9,9,0,1,10,1,0,1
S00089291,41,11,14,0,9,4,2,0,1
S00089292,42,13,11,0,14,0,2,2,0
S00089293,77,8,28,0,23,0,12,4,2
S00089294,67,11,26,0,0,4,25,1,0
S00089295,72,23,13,0,11,14,9,1,1
S00089296,66,23,17,1,11,9,4,1,0
S00089297,50,4,4,0,34,0,5,2,1
S00089298,48,9,15,0,1,12,9,0,2
S00089299,39,11,7,0,20,0,1,0,0
S00089300,41,11,8,0,4,13,4,1,0
S00089301,47,17,13,0,8,1,8,0,0
S00089302,41,15,13,0,3,8,1,1,0
S00089303,72,15,23,0,18,1,11,3,1
S00089304,62,21,14,0,18,2,4,2,1
S00089305,42,5,6,0,6,23,2,0,0
S00089306,68,3,7,0,20,25,12,0,1
S00089307,55,3,7,0,36,1,8,0,0
S00089308,27,4,11,0,6,1,4,1,0
S00089309,51,15,17,0,12,4,3,0,0
S00089310,72,13,10,0,35,3,10,0,1
S00089311,49,20,13,0,7,2,4,3,0
S00089312,69,27,29,0,0,1,9,0,3
S00089313,75,46,23,0,2,1,3,0,0
S00089314,73,10,24,0,0,1,34,2,2
S00089315,50,25,23,0,0,0,2,0,0
S00089316,49,27,18,0,1,0,3,0,0
S00089317,40,18,19,0,1,0,2,0,0
S00089318,45,23,21,0,1,0,0,0,0
S00089319,60,36,20,0,1,0,2,0,1
S00089320,47,23,24,0,0,0,0,0,0
S00089321,37,20,15,0,1,0,1,0,0
S00089322,55,32,18,0,0,0,2,2,1
S00089323,40,29,10,0,0,0,1,0,0
S00089324,46,31,11,1,1,0,0,2,0
S00089325,43,20,21,0,1,0,1,0,0
S00089326,56,30,24,0,0,0,2,0,0
S00089327,50,29,19,0,1,0,1,0,0
S00089328,59,38,18,0,0,0,1,1,1
S00089329,48,35,8,0,1,0,2,0,2
S00089330,69,36,24,0,2,0,7,0,0
S00089331,69,40,25,0,1,0,1,0,2
S00089332,67,35,30,0,0,0,1,0,1
S00089333,73,30,38,0,0,0,3,1,1
S00089334,67,33,28,0,1,0,2,2,1
S00089335,62,25,32,0,2,0,2,1,0
S00089336,44,21,20,0,0,0,3,0,0
S00089337,29,15,9,0,3,0,1,0,1
S00089338,73,40,30,0,1,0,1,0,1
S00089339,69,43,25,0,0,0,1,0,0
S00089340,68,26,15,0,24,1,2,0,0
S00089341,44,27,12,0,1,0,4,0,0
S00089342,62,47,2,1,10,0,1,0,1
S00089343,49,15,15,1,1,2,15,0,0
S00089344,42,8,13,0,14,0,4,0,3
S00089345,52,17,18,0,1,0,12,2,2
S00089346,64,33,27,1,0,0,3,0,0
S00089347,48,28,19,0,0,0,1,0,0
S00089348,39,20,16,0,0,0,2,0,1
S00089349,45,30,13,0,0,0,1,1,0
S00089350,52,26,20,1,0,0,4,0,1
S00089351,68,26,26,0,1,0,15,0,0
S00089352,60,40,14,0,0,0,5,0,1
S00089353,52,28,22,0,0,0,1,0,1
S00089354,41,22,14,0,0,0,2,1,2
S00089355,58,29,27,0,0,0,1,0,1
S00089356,22,5,8,0,5,0,4,0,0
S00089357,53,15,14,1,7,0,11,4,1
S00089358,42,15,8,0,10,2,3,2,2
S00089359,56,15,23,0,10,1,4,0,3
S00089360,68,15,17,0,28,0,6,2,0
S00089361,72,21,15,2,14,17,1,1,1
S00089362,61,11,9,0,2,3,5,30,1
S00089363,27,9,13,0,1,0,3,0,1
S00089364,67,11,16,0,1,1,35,0,3
S00089365,66,2,10,0,0,1,51,1,1
S00089366,54,6,21,0,4,0,22,1,0
S00089367,54,15,10,1,14,1,12,0,1
S00089368,37,4,13,4,0,0,14,2,0
S00089369,68,5,18,4,2,1,29,5,4
S00089370,74,9,12,1,30,2,17,1,2
S00089371,75,20,15,0,24,1,13,1,1
S00089372,40,14,11,0,7,0,5,2,1
S00089373,56,15,16,0,0,0,21,4,0
S00089374,32,11,18,0,1,0,0,1,1
S00089375,74,47,26,0,0,0,1,0,0
S00089376,71,47,21,0,0,0,2,0,1
S00089377,40,22,13,0,1,1,2,0,1
S00089378,41,24,12,0,0,0,3,0,2
S00089379,75,51,20,0,0,0,2,1,1
S00089380,64,34,28,0,0,0,2,0,0
S00089381,46,26,15,0,0,0,2,0,3
S00089382,59,38,17,0,1,0,2,0,1
S00089383,48,34,13,0,0,0,1,0,0
S00089384,47,16,24,0,0,0,6,1,0
S00089385,72,33,23,0,2,0,11,2,1
S00089386,76,49,17,0,0,0,8,0,2
S00089387,66,49,13,0,0,0,4,0,0
S00089388,56,24,28,0,1,0,1,1,1
S00089389,44,30,13,0,1,0,0,0,0
S00089390,42,20,11,0,5,0,1,3,2
S00089391,72,16,8,0,40,0,6,0,2
S00089392,46,7,1,0,37,1,0,0,0
S00089393,46,6,1,0,31,0,7,1,0
S00089394,44,6,3,0,33,1,1,0,0
S00089395,71,20,14,0,35,1,0,0,1
S00089396,61,2,8,0,44,1,5,0,1
S00089397,44,19,15,0,7,0,3,0,0
S00089398,46,32,11,0,1,0,2,0,0
S00089399,43,2,0,0,39,0,0,1,1
S00089400,47,22,17,0,0,0,7,0,1
S00089401,42,13,9,0,18,0,2,0,0
S00089402,53,13,20,0,15,0,2,3,0
S00089403,41,23,13,0,0,0,3,1,1
S00089404,42,34,8,0,0,0,0,0,0
S00089405,44,25,13,0,1,0,5,0,0
S00089406,51,24,23,0,2,0,2,0,0
S00089407,62,17,15,0,20,1,5,3,1
S00089408,49,23,19,0,0,1,1,2,3
S00089409,49,16,23,0,2,0,7,1,0
S00089410,41,18,22,0,0,0,0,0,1
S00089411,34,19,13,0,0,0,2,0,0
S00089412,76,47,26,0,0,0,3,0,0
S00089413,66,33,28,0,0,0,3,0,2
S00089414,41,17,16,0,7,0,1,0,0
S00089415,44,14,18,0,10,0,1,0,1
S00089416,54,28,18,0,3,0,5,0,0
S00089417,53,32,16,0,2,0,3,0,0
S00089418,55,30,18,0,0,0,6,0,1
S00089419,56,17,23,0,4,0,12,0,0
S00089420,59,27,25,0,0,0,7,0,0
S00089421,63,26,32,0,1,0,4,0,0
S00089422,54,31,16,0,0,0,6,1,0
S00089423,59,27,30,0,0,0,2,0,0
S00089424,52,26,18,0,1,0,5,0,2
S00089425,65,27,25,0,0,0,12,1,0
S00089426,66,12,34,0,0,0,20,0,0
S00089427,30,17,11,0,1,0,1,0,0
S00089428,43,12,14,0,2,0,9,3,3
S00089429,53,32,17,0,0,0,4,0,0
S00089430,66,47,13,0,2,0,2,2,0
S00089431,33,13,10,0,1,0,7,2,0
S00089432,26,17,4,0,0,0,4,0,1
S00089433,48,20,14,0,1,0,9,3,1
S00089434,27,14,8,0,0,0,3,0,2
S00089435,48,25,18,0,0,0,5,0,0
S00089436,48,30,17,0,0,0,1,0,0
S00089437,55,35,15,0,0,0,4,1,0
S00089438,54,34,15,0,1,0,3,0,1
S00089439,44,30,11,0,0,0,3,0,0
S00089440,22,12,7,0,0,0,2,0,1
S00089441,44,6,4,0,28,0,4,1,1
S00089442,61,36,18,0,0,0,5,1,1
S00089443,36,9,13,0,2,0,8,2,2
S00089444,75,6,25,0,1,0,40,1,2
S00089445,72,4,22,0,2,0,37,5,2
S00089446,50,4,14,2,5,0,20,5,0
S00089447,47,1,22,1,0,0,19,2,2
S00089448,52,1,17,1,6,0,23,3,1
S00089449,80,6,19,0,15,2,34,4,0
S00089450,43,5,3,0,27,3,5,0,0
S00089451,61,2,10,0,39,1,6,2,1
S00089452,76,2,5,0,36,27,5,0,1
S00089453,78,2,13,0,6,35,16,3,3
S00089454,47,7,10,0,4,22,4,0,0
S00089455,66,4,7,0,29,18,5,2,1
S00089456,77,15,17,0,26,0,15,2,2
S00089457,54,6,18,0,5,1,19,4,1
S00089458,46,3,12,0,5,1,23,1,1
S00089459,39,2,16,0,0,0,18,1,2
S00089460,75,2,1,0,69,1,0,2,0
S00089461,76,11,12,1,26,0,22,3,1
S00089462,57,4,11,0,15,0,26,1,0
S00089463,70,4,20,0,13,1,24,7,1
S00089464,67,13,25,2,1,0,22,3,1
S00089465,57,8,24,0,0,1,14,8,2
S00089466,33,2,11,1,2,0,13,2,2
S00089467,49,1,12,1,3,9,16,6,1
S00089468,41,0,2,1,20,0,16,2,0
S00089469,50,3,11,3,5,11,13,3,1
S00089470,41,8,13,0,2,0,15,2,1
S00089471,42,7,11,0,1,0,20,3,0
S00089472,46,4,8,0,27,0,5,0,2
S00089473,59,2,26,0,13,0,16,0,2
S00089474,94,4,9,1,41,8,29,2,0
S00089475,43,8,8,0,3,0,22,0,2
S00089476,37,5,10,0,9,0,12,1,0
S00089477,58,5,16,0,1,0,29,7,0
S00089478,54,2,12,2,1,0,32,3,2
S00089479,42,4,9,0,1,2,20,6,0
S00089480,40,6,10,0,0,0,21,3,0
S00089481,61,4,12,0,0,0,36,5,4
S00089482,48,8,23,0,3,0,13,1,0
S00089483,46,9,8,0,2,0,23,4,0
S00089484,63,3,7,0,37,3,8,4,1
S00089485,42,1,10,0,5,0,25,1,0
S00089486,72,23,11,0,27,1,7,1,2
S00089487,55,11,13,1,16,0,9,0,5
S00089488,63,18,13,0,20,0,10,1,1
S00089489,79,10,18,0,1,0,43,5,2
S00089490,79,10,16,0,20,1,25,5,2
S00089491,46,9,17,2,1,2,12,2,1
S00089492,51,7,12,0,27,1,4,0,0
S00089493,40,5,4,1,20,1,7,0,2
S00089494,51,6,2,0,39,1,1,2,0
S00089495,43,8,3,0,21,1,10,0,0
S00089496,48,6,5,0,30,0,7,0,0
S00089497,70,18,15,2,2,0,25,6,2
S00089498,57,2,9,1,43,0,2,0,0
S00089499,36,3,4,0,29,0,0,0,0
S00089500,46,5,9,0,21,0,9,2,0
S00089501,68,1,3,0,56,0,7,0,1
S00089502,65,4,6,0,47,2,5,0,1
S00089503,56,1,0,0,54,1,0,0,0
S00089504,52,2,0,0,50,0,0,0,0
S00089505,50,0,0,0,50,0,0,0,0
S00089506,48,5,0,0,40,0,3,0,0
S00089507,52,4,2,0,40,1,3,1,1
S00089508,53,6,7,0,38,0,0,0,2
S00089509,31,1,2,0,1,24,2,1,0
S00089510,55,1,2,0,48,2,1,1,0
S00089511,44,1,3,0,28,7,4,1,0
S00089512,42,1,0,1,5,33,2,0,0
S00089513,63,6,11,0,37,1,7,1,0
S00089514,40,1,3,0,31,3,2,0,0
S00089515,62,15,8,0,2,17,16,2,2
S00089516,64,5,11,1,8,27,4,5,3
S00089517,52,5,3,0,28,0,14,2,0
S00089518,101,37,2,2,53,1,3,1,2
S00089519,53,31,13,0,6,0,0,0,3
S00089520,42,25,15,0,0,0,0,1,1
S00089521,71,40,19,5,0,0,5,2,0
S00089522,52,23,24,0,0,0,3,1,1
S00089523,47,16,12,0,13,1,4,1,0
S00089524,56,16,18,0,10,0,7,1,4
S00089525,39,15,7,1,11,0,5,0,0
S00089526,75,2,2,0,69,0,1,0,1
S00089527,75,5,7,0,63,0,0,0,0
S00089528,64,15,9,0,31,2,7,0,0
S00089529,58,13,12,1,19,0,9,2,2
S00089530,36,7,15,0,8,0,5,1,0
S00089531,44,12,12,0,13,0,5,1,1
S00089532,58,14,20,0,13,0,9,1,1
S00089533,40,5,10,0,19,0,4,2,0
S00089534,59,17,15,0,18,0,9,0,0
S00089535,42,8,10,0,15,0,7,1,1
S00089536,64,14,13,0,33,0,4,0,0
S00089537,37,8,16,1,9,0,3,0,0
S00089538,38,11,9,1,10,0,3,0,4
S00089539,41,4,13,0,21,0,2,1,0
S00089540,48,3,12,0,27,1,5,0,0
S00089541,44,10,11,0,17,0,6,0,0
S00089542,83,8,48,0,1,1,18,4,3
S00089543,54,2,0,0,47,0,3,2,0
S00089544,52,2,8,1,31,2,8,0,0
S00089545,55,0,0,0,53,2,0,0,0
S00089546,47,7,5,0,28,0,5,2,0
S00089547,69,12,24,0,27,0,5,1,0
S00089548,104,2,21,3,45,13,17,2,1
S00089549,61,5,16,1,34,0,2,1,2
S00089550,50,9,15,0,22,0,4,0,0
