output_area,All occupied household spaces,One person,Two people,Three people,Four people,Five people,Six people,Seven people,Eight or more people
S00089167,52,16,23,9,3,0,1,0,0
S00089168,53,42,11,0,0,0,0,0,0
S00089169,46,14,11,9,7,4,1,0,0
S00089170,46,22,10,8,6,0,0,0,0
S00089171,41,21,12,5,1,2,0,0,0
S00089172,31,10,12,6,3,0,0,0,0
S00089173,62,16,25,15,3,2,1,0,0
S00089174,71,22,22,17,6,4,0,0,0
S00089175,64,26,23,9,5,1,0,0,0
S00089176,42,12,10,11,8,1,0,0,0
S00089177,67,28,19,17,3,0,0,0,0
S00089178,66,21,24,11,6,2,1,1,0
S00089179,77,23,28,14,10,1,1,0,0
S00089180,60,20,21,8,9,2,0,0,0
S00089181,45,16,14,9,1,4,1,0,0
S00089182,43,11,10,9,10,2,1,0,0
S00089183,41,12,12,7,9,1,0,0,0
S00089184,46,7,14,8,10,4,3,0,0
S00089185,55,13,20,9,9,4,0,0,0
S00089186,51,19,16,4,9,3,0,0,0
S00089187,38,18,13,6,0,1,0,0,0
S00089188,70,25,26,10,7,1,1,0,0
S00089189,72,27,25,9,9,0,2,0,0
S00089190,59,27,20,5,5,1,1,0,0
S00089191,72,32,23,12,3,1,1,0,0
S00089192,65,33,23,5,3,1,0,0,0
S00089193,76,35,28,11,2,0,0,0,0
S00089194,65,25,28,6,3,1,1,1,0
S00089195,51,12,17,9,6,4,3,0,0
S00089196,53,22,12,9,6,2,2,0,0
S00089197,52,14,21,9,7,1,0,0,0
S00089198,54,33,16,4,0,0,1,0,0
S00089199,26,6,7,2,7,2,2,0,0
S00089200,34,14,10,5,5,0,0,0,0
S00089201,43,13,14,8,7,1,0,0,0
S00089202,72,21,33,8,9,1,0,0,0
S00089203,75,16,24,13,18,3,1,0,0
S00089204,52,7,19,9,9,7,1,0,0
S00089205,52,13,24,7,7,1,0,0,0
S00089206,51,15,17,7,8,4,0,0,0
S00089207,40,12,9,9,7,3,0,0,0
S00089208,51,33,14,2,1,1,0,0,0
S00089209,41,18,16,5,2,0,0,0,0
S00089210,52,32,17,2,1,0,0,0,0
S00089211,49,31,14,4,0,0,0,0,0
S00089212,62,31,21,8,1,1,0,0,0
S00089213,43,24,14,4,1,0,0,0,0
S00089214,41,25,13,2,1,0,0,0,0
S00089215,39,22,10,4,2,1,0,0,0
S00089216,68,46,16,5,1,0,0,0,0
S00089217,52,34,11,5,2,0,0,0,0
S00089218,84,52,24,7,0,1,0,0,0
S00089219,55,37,10,7,0,0,1,0,0
S00089220,39,21,16,1,1,0,0,0,0
S00089221,81,43,28,5,2,2,1,0,0
S00089222,50,21,21,6,2,0,0,0,0
S00089223,48,30,16,1,0,1,0,0,0
S00089224,67,26,25,6,9,1,0,0,0
S00089225,41,27,11,3,0,0,0,0,0
S00089226,38,25,9,2,2,0,0,0,0
S00089227,84,49,27,7,1,0,0,0,0
S00089228,41,12,13,9,5,2,0,0,0
S00089229,51,24,16,5,4,2,0,0,0
S00089230,52,24,18,5,5,0,0,0,0
S00089231,59,36,18,5,0,0,0,0,0
S00089232,47,18,16,9,4,0,0,0,0
S00089233,31,5,13,4,8,1,0,0,0
S00089234,44,14,17,4,8,1,0,0,0
S00089235,69,44,20,4,0,0,0,0,1
S00089236,58,39,16,2,1,0,0,0,0
S00089237,53,15,21,8,9,0,0,0,0
S00089238,59,14,28,6,8,3,0,0,0
S00089239,42,9,16,11,6,0,0,0,0
S00089240,73,16,30,7,18,2,0,0,0
S00089241,30,9,13,3,4,1,0,0,0
S00089242,51,14,15,10,11,1,0,0,0
S00089243,51,14,19,9,9,0,0,0,0
S00089244,56,18,24,7,5,2,0,0,0
S00089245,45,19,18,3,5,0,0,0,0
S00089246,37,4,18,6,8,1,0,0,0
S00089247,76,22,34,8,9,2,1,0,0
S00089248,91,35,28,14,10,2,1,1,0
S00089249,43,11,14,7,10,1,0,0,0
S00089250,36,14,9,7,3,3,0,0,0
S00089251,42,13,15,5,7,2,0,0,0
S00089252,44,7,15,9,11,2,0,0,0
S00089253,60,19,25,8,4,4,0,0,0
S00089254,56,14,19,9,13,0,1,0,0
S00089255,53,15,22,8,4,4,0,0,0
S00089256,46,13,15,8,9,0,1,0,0
S00089257,43,15,15,6,3,3,0,1,0
S00089258,50,18,21,6,4,0,1,0,0
S00089259,42,18,14,6,1,2,1,0,0
S00089260,55,13,22,8,8,2,1,1,0
S00089261,75,31,14,22,7,1,0,0,0
S00089262,69,43,19,5,0,0,2,0,0
S00089263,66,45,17,3,1,0,0,0,0
S00089264,77,37,27,8,3,2,0,0,0
S00089265,56,34,18,2,2,0,0,0,0
S00089266,59,36,12,7,2,1,1,0,0
S00089267,53,30,21,1,1,0,0,0,0
S00089268,71,43,17,8,3,0,0,0,0
S00089269,62,35,17,8,2,0,0,0,0
S00089270,80,49,24,5,2,0,0,0,0
S00089271,38,13,8,9,7,0,1,0,0
S00089272,26,4,11,4,4,3,0,0,0
S00089273,62,35,21,2,3,0,1,0,0
S00089274,64,27,22,6,6,2,1,0,0
S00089275,53,42,11,0,0,0,0,0,0
S00089276,41,29,9,1,1,1,0,0,0
S00089277,72,15,27,12,18,0,0,0,0
S00089278,53,40,13,0,0,0,0,0,0
S00089279,30,13,8,2,5,0,2,0,0
S00089280,27,8,11,4,3,1,0,0,0
S00089281,41,19,15,2,5,0,0,0,0
S00089282,27,6,9,4,7,1,0,0,0
S00089283,31,15,11,3,2,0,0,0,0
S00089284,51,15,26,4,4,2,0,0,0
S00089285,79,41,29,7,2,0,0,0,0
S00089286,68,41,17,9,1,0,0,0,0
S00089287,71,55,16,0,0,0,0,0,0
S00089288,48,17,18,8,4,1,0,0,0
S00089289,47,10,15,10,10,2,0,0,0
S00089290,31,12,12,2,3,2,0,0,0
S00089291,41,13,12,7,6,1,2,0,0
S00089292,42,15,17,3,4,2,1,0,0
S00089293,77,33,24,10,8,2,0,0,0
S00089294,67,14,34,10,9,0,0,0,0
S00089295,72,16,22,13,14,7,0,0,0
S00089296,66,15,24,15,7,5,0,0,0
S00089297,50,25,14,7,1,3,0,0,0
S00089298,48,18,16,9,4,1,0,0,0
S00089299,39,29,5,1,2,0,0,2,0
S00089300,41,10,15,6,9,1,0,0,0
S00089301,47,14,17,5,4,5,2,0,0
S00089302,41,8,16,9,4,3,1,0,0
S00089303,72,18,29,12,11,1,1,0,0
S00089304,62,14,17,17,11,2,1,0,0
S00089305,42,26,11,4,1,0,0,0,0
S00089306,68,30,17,14,2,3,2,0,0
S00089307,55,36,10,6,1,2,0,0,0
S00089308,27,5,7,4,10,0,1,0,0
S00089309,51,12,11,13,8,1,4,2,0
S00089310,72,28,11,16,13,3,1,0,0
S00089311,49,17,21,3,7,1,0,0,0
S00089312,69,19,19,18,12,1,0,0,0
S00089313,75,31,26,9,6,2,1,0,0
S00089314,73,40,21,7,3,2,0,0,0
S00089315,50,14,21,8,7,0,0,0,0
S00089316,49,15,19,10,2,3,0,0,0
S00089317,40,6,20,8,6,0,0,0,0
S00089318,45,15,14,6,8,1,0,0,1
S00089319,60,14,31,6,6,2,1,0,0
S00089320,47,10,16,8,7,5,1,0,0
S00089321,37,7,19,4,7,0,0,0,0
S00089322,55,17,21,6,9,1,1,0,0
S00089323,40,14,15,5,6,0,0,0,0
S00089324,46,17,19,5,4,0,0,0,1
S00089325,43,11,15,10,5,1,1,0,0
S00089326,56,11,25,12,7,1,0,0,0
S00089327,50,13,23,7,7,0,0,0,0
S00089328,59,24,23,7,5,0,0,0,0
S00089329,48,16,21,7,4,0,0,0,0
S00089330,69,21,27,10,10,0,1,0,0
S00089331,69,16,30,5,13,5,0,0,0
S00089332,67,13,24,14,11,5,0,0,0
S00089333,73,18,29,11,9,5,1,0,0
S00089334,67,19,28,6,13,1,0,0,0
S00089335,62,20,20,7,12,3,0,0,0
S00089336,44,13,18,8,5,0,0,0,0
S00089337,29,10,13,4,1,1,0,0,0
S00089338,73,23,27,13,10,0,0,0,0
S00089339,69,20,30,7,11,1,0,0,0
S00089340,68,33,24,4,4,2,1,0,0
S00089341,44,23,14,3,3,1,0,0,0
S00089342,62,50,11,1,0,0,0,0,0
S00089343,49,32,13,3,1,0,0,0,0
S00089344,42,30,5,2,2,2,1,0,0
S00089345,52,21,21,7,1,2,0,0,0
S00089346,64,14,33,6,9,1,1,0,0
S00089347,48,14,20,4,8,2,0,0,0
S00089348,39,4,22,8,5,0,0,0,0
S00089349,45,11,22,7,4,1,0,0,0
S00089350,52,18,15,5,11,2,1,0,0
S00089351,68,17,19,13,14,5,0,0,0
S00089352,60,14,20,10,11,4,1,0,0
S00089353,52,13,27,6,4,2,0,0,0
S00089354,41,12,17,6,5,1,0,0,0
S00089355,58,6,24,6,17,5,0,0,0
S00089356,22,2,6,11,1,2,0,0,0
S00089357,53,18,20,6,6,1,1,1,0
S00089358,42,15,19,3,4,0,0,1,0
S00089359,56,20,15,9,9,2,1,0,0
S00089360,68,35,24,6,3,0,0,0,0
S00089361,72,28,21,12,10,1,0,0,0
S00089362,61,39,14,2,1,5,0,0,0
S00089363,27,7,13,3,2,2,0,0,0
S00089364,67,44,19,2,2,0,0,0,0
S00089365,66,27,23,8,5,3,0,0,0
S00089366,54,20,18,15,1,0,0,0,0
S00089367,54,23,21,7,0,2,1,0,0
S00089368,37,19,15,3,0,0,0,0,0
S00089369,68,35,19,12,0,1,1,0,0
S00089370,74,43,29,2,0,0,0,0,0
S00089371,75,42,26,3,2,2,0,0,0
S00089372,40,22,14,3,1,0,0,0,0
S00089373,56,25,22,8,1,0,0,0,0
S00089374,32,16,11,3,2,0,0,0,0
S00089375,74,30,34,5,3,0,2,0,0
S00089376,71,24,35,7,5,0,0,0,0
S00089377,40,12,19,4,5,0,0,0,0
S00089378,41,7,19,6,5,4,0,0,0
S00089379,75,13,41,11,9,1,0,0,0
S00089380,64,16,22,11,13,1,1,0,0
S00089381,46,9,24,5,6,1,0,1,0
S00089382,59,14,31,8,4,2,0,0,0
S00089383,48,7,26,11,4,0,0,0,0
S00089384,47,14,16,9,7,1,0,0,0
S00089385,72,27,33,5,5,2,0,0,0
S00089386,76,16,36,14,10,0,0,0,0
S00089387,66,12,34,7,11,1,0,0,1
S00089388,56,11,13,11,16,5,0,0,0
S00089389,44,12,20,4,7,0,1,0,0
S00089390,42,18,14,2,3,3,0,2,0
S00089391,72,51,16,2,3,0,0,0,0
S00089392,46,24,11,7,2,2,0,0,0
S00089393,46,20,18,4,2,2,0,0,0
S00089394,44,29,10,2,2,1,0,0,0
S00089395,71,39,25,6,1,0,0,0,0
S00089396,61,52,7,2,0,0,0,0,0
S00089397,44,12,18,7,3,4,0,0,0
S00089398,46,10,25,8,3,0,0,0,0
S00089399,43,36,6,1,0,0,0,0,0
S00089400,47,17,17,7,5,0,1,0,0
S00089401,42,21,15,3,2,1,0,0,0
S00089402,53,31,13,9,0,0,0,0,0
S00089403,41,9,17,8,5,1,1,0,0
S00089404,42,11,17,6,8,0,0,0,0
S00089405,44,10,15,10,5,2,2,0,0
S00089406,51,6,18,11,11,4,1,0,0
S00089407,62,28,16,9,5,3,1,0,0
S00089408,49,22,12,5,7,3,0,0,0
S00089409,49,12,19,7,9,2,0,0,0
S00089410,41,7,10,6,14,4,0,0,0
S00089411,34,4,13,5,9,1,2,0,0
S00089412,76,11,38,13,8,4,2,0,0
S00089413,66,5,29,14,10,6,1,1,0
S00089414,41,26,9,5,1,0,0,0,0
S00089415,44,15,16,4,7,2,0,0,0
S00089416,54,4,18,19,11,2,0,0,0
S00089417,53,11,23,8,4,6,1,0,0
S00089418,55,7,25,6,12,4,1,0,0
S00089419,56,19,23,6,5,3,0,0,0
S00089420,59,15,16,18,9,1,0,0,0
S00089421,63,11,20,11,18,3,0,0,0
S00089422,54,28,22,2,0,2,0,0,0
S00089423,59,7,21,14,13,4,0,0,0
S00089424,52,8,19,8,12,4,1,0,0
S00089425,65,7,22,18,14,3,1,0,0
S00089426,66,13,17,10,18,8,0,0,0
S00089427,30,8,8,5,7,1,0,1,0
S00089428,43,24,6,8,3,1,1,0,0
S00089429,53,20,8,8,12,3,2,0,0
S00089430,66,29,23,8,3,3,0,0,0
S00089431,33,14,6,5,4,3,1,0,0
S00089432,26,6,11,5,2,2,0,0,0
S00089433,48,25,20,3,0,0,0,0,0
S00089434,27,2,10,6,5,4,0,0,0
S00089435,48,11,19,5,9,4,0,0,0
S00089436,48,10,18,12,5,3,0,0,0
S00089437,55,10,21,12,7,4,1,0,0
S00089438,54,4,26,7,9,7,1,0,0
S00089439,44,7,16,13,6,2,0,0,0
S00089440,22,3,10,1,7,1,0,0,0
S00089441,44,19,17,2,6,0,0,0,0
S00089442,61,33,16,8,3,1,0,0,0
S00089443,36,15,17,3,0,1,0,0,0
S00089444,75,28,39,6,2,0,0,0,0
S00089445,72,26,28,13,3,0,2,0,0
S00089446,50,20,13,10,4,1,2,0,0
S00089447,47,19,17,6,4,1,0,0,0
S00089448,52,18,21,8,5,0,0,0,0
S00089449,80,34,34,10,1,1,0,0,0
S00089450,43,17,11,7,6,2,0,0,0
S00089451,61,43,11,4,1,2,0,0,0
S00089452,76,56,18,1,1,0,0,0,0
S00089453,78,56,15,5,1,1,0,0,0
S00089454,47,25,18,2,1,1,0,0,0
S00089455,66,47,13,4,2,0,0,0,0
S00089456,77,40,25,10,2,0,0,0,0
S00089457,54,31,17,4,2,0,0,0,0
S00089458,46,22,17,5,2,0,0,0,0
S00089459,39,19,19,0,1,0,0,0,0
S00089460,75,66,9,0,0,0,0,0,0
S00089461,76,49,26,1,0,0,0,0,0
S00089462,57,32,20,5,0,0,0,0,0
S00089463,70,38,19,5,2,3,3,0,0
S00089464,67,29,24,5,6,1,2,0,0
S00089465,57,34,20,2,1,0,0,0,0
S00089466,33,15,15,2,0,1,0,0,0
S00089467,49,25,17,5,2,0,0,0,0
S00089468,41,27,6,4,3,1,0,0,0
S00089469,50,16,16,8,8,2,0,0,0
S00089470,41,17,20,1,3,0,0,0,0
S00089471,42,20,16,4,1,1,0,0,0
S00089472,46,24,13,4,4,1,0,0,0
S00089473,59,28,27,4,0,0,0,0,0
S00089474,94,64,27,2,0,1,0,0,0
S00089475,43,24,14,2,3,0,0,0,0
S00089476,37,17,19,0,1,0,0,0,0
S00089477,58,19,33,5,1,0,0,0,0
S00089478,54,19,26,7,2,0,0,0,0
S00089479,42,18,20,3,1,0,0,0,0
S00089480,40,17,19,3,1,0,0,0,0
S00089481,61,12,36,13,0,0,0,0,0
S00089482,48,26,20,2,0,0,0,0,0
S00089483,46,18,19,5,4,0,0,0,0
S00089484,63,31,20,11,0,1,0,0,0
S00089485,42,22,17,3,0,0,0,0,0
S00089486,72,45,25,2,0,0,0,0,0
S00089487,55,33,19,3,0,0,0,0,0
S00089488,63,39,23,1,0,0,0,0,0
S00089489,79,42,23,13,1,0,0,0,0
S00089490,79,42,26,5,5,0,1,0,0
S00089491,46,19,22,5,0,0,0,0,0
S00089492,51,32,18,1,0,0,0,0,0
S00089493,40,19,17,1,0,2,1,0,0
S00089494,51,30,19,2,0,0,0,0,0
S00089495,43,25,10,8,0,0,0,0,0
S00089496,48,30,16,2,0,0,0,0,0
S00089497,70,28,20,10,4,7,1,0,0
S00089498,57,10,31,12,4,0,0,0,0
S00089499,36,14,11,9,2,0,0,0,0
S00089500,46,19,16,8,0,2,1,0,0
S00089501,68,23,18,21,6,0,0,0,0
S00089502,65,23,21,16,3,2,0,0,0
S00089503,56,50,6,0,0,0,0,0,0
S00089504,52,45,7,0,0,0,0,0,0
S00089505,50,36,14,0,0,0,0,0,0
S00089506,48,24,15,5,2,1,1,0,0
S00089507,52,27,14,7,3,1,0,0,0
S00089508,53,16,24,9,4,0,0,0,0
S00089509,31,17,11,2,0,0,1,0,0
S00089510,55,19,11,16,6,3,0,0,0
S00089511,44,16,18,6,3,0,1,0,0
S00089512,42,29,11,1,1,0,0,0,0
S00089513,63,24,23,8,8,0,0,0,0
S00089514,40,13,9,9,3,4,1,1,0
S00089515,62,28,15,11,6,2,0,0,0
S00089516,64,38,17,4,2,3,0,0,0
S00089517,52,36,12,3,1,0,0,0,0
S00089518,101,57,29,9,2,3,1,0,0
S00089519,53,15,22,9,5,2,0,0,0
S00089520,42,7,24,8,3,0,0,0,0
S00089521,71,33,23,11,2,1,1,0,0
S00089522,52,15,19,9,9,0,0,0,0
S00089523,47,13,21,6,7,0,0,0,0
S00089524,56,23,25,6,2,0,0,0,0
S00089525,39,12,19,6,1,0,1,0,0
S00089526,75,54,15,2,2,1,1,0,0
S00089527,75,53,15,5,1,1,0,0,0
S00089528,64,45,14,2,3,0,0,0,0
S00089529,58,18,26,10,2,2,0,0,0
S00089530,36,16,12,6,1,1,0,0,0
S00089531,44,17,20,3,4,0,0,0,0
S00089532,58,21,23,13,1,0,0,0,0
S00089533,40,16,12,9,3,0,0,0,0
S00089534,59,18,25,12,4,0,0,0,0
S00089535,42,17,10,12,2,1,0,0,0
S00089536,64,33,18,8,4,1,0,0,0
S00089537,37,11,14,11,1,0,0,0,0
S00089538,38,11,12,11,0,4,0,0,0
S00089539,41,21,8,6,6,0,0,0,0
S00089540,48,23,10,8,6,0,1,0,0
S00089541,44,19,11,4,7,3,0,0,0
S00089542,83,54,21,4,4,0,0,0,0
S00089543,54,37,11,4,1,1,0,0,0
S00089544,52,21,21,4,3,3,0,0,0
S00089545,55,48,7,0,0,0,0,0,0
S00089546,47,14,16,10,4,3,0,0,0
S00089547,69,22,27,13,7,0,0,0,0
S00089548,104,66,22,13,3,0,0,0,0
S00089549,61,33,20,7,1,0,0,0,0
S00089550,50,16,22,9,1,2,0,0,0
S00089551,60,45,14,1,0,0,0,0,0
S00089552,35,11,14,7,0,2,0,1,0
S00089553,36,23,8,5,0,0,0,0,0
S00089554,41,25,7,6,3,0,0,0,0
S00089555,71,24,31,10,5,1,0,0,0
S00089556,46,25,13,4,3,1,0,0,0
S00089557,95,62,25,7,0,1,0,0,0
